name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
猫,0.506,0.769,3,-5.326,1,0.0363,0.113,0,0.0828,0.536,154.044,audio_features,6sIx7Cn37DGEhjy9hBP8Gx,spotify:track:6sIx7Cn37DGEhjy9hBP8Gx,https://api.spotify.com/v1/tracks/6sIx7Cn37DGEhjy9hBP8Gx,https://api.spotify.com/v1/audio-analysis/6sIx7Cn37DGEhjy9hBP8Gx,276040,4
No.1,0.495,0.878,1,-4.3,1,0.058,0.0216,0,0.186,0.621,90.492,audio_features,7b7QqKepv8wY6VopSmQqX8,spotify:track:7b7QqKepv8wY6VopSmQqX8,https://api.spotify.com/v1/tracks/7b7QqKepv8wY6VopSmQqX8,https://api.spotify.com/v1/audio-analysis/7b7QqKepv8wY6VopSmQqX8,230600,4
No.1,0.498,0.879,1,-4.3,1,0.057,0.0216,0,0.112,0.64,90.495,audio_features,3GIhgMadHu26VHLEeXviGD,spotify:track:3GIhgMadHu26VHLEeXviGD,https://api.spotify.com/v1/tracks/3GIhgMadHu26VHLEeXviGD,https://api.spotify.com/v1/audio-analysis/3GIhgMadHu26VHLEeXviGD,232907,4
FLAME,0.509,0.993,0,-3.258,1,0.131,0.0207,0,0.331,0.283,95.933,audio_features,68W6SPPczmrZvOL1aiKYCM,spotify:track:68W6SPPczmrZvOL1aiKYCM,https://api.spotify.com/v1/tracks/68W6SPPczmrZvOL1aiKYCM,https://api.spotify.com/v1/audio-analysis/68W6SPPczmrZvOL1aiKYCM,245947,4
五明後日,0.556,0.709,9,-4.688,1,0.0382,0.119,0,0.359,0.428,143.899,audio_features,24H8AXl8yRwmGg7ngU1heh,spotify:track:24H8AXl8yRwmGg7ngU1heh,https://api.spotify.com/v1/tracks/24H8AXl8yRwmGg7ngU1heh,https://api.spotify.com/v1/audio-analysis/24H8AXl8yRwmGg7ngU1heh,259200,4
沈丁花,0.555,0.834,8,-3.541,1,0.0299,0.0408,0,0.346,0.771,120.039,audio_features,79TdseXlAiANFOTstIwejv,spotify:track:79TdseXlAiANFOTstIwejv,https://api.spotify.com/v1/tracks/79TdseXlAiANFOTstIwejv,https://api.spotify.com/v1/audio-analysis/79TdseXlAiANFOTstIwejv,231610,4
I Can Hear,0.583,0.962,5,-2.776,1,0.105,0.0234,0,0.452,0.578,95.054,audio_features,1J0Vi4FbU4UUBFEg5Pirxk,spotify:track:1J0Vi4FbU4UUBFEg5Pirxk,https://api.spotify.com/v1/tracks/1J0Vi4FbU4UUBFEg5Pirxk,https://api.spotify.com/v1/audio-analysis/1J0Vi4FbU4UUBFEg5Pirxk,253320,4
僕らが強く。,0.546,0.852,2,-4.109,1,0.0344,0.000719,0,0.199,0.338,111.993,audio_features,5SLZZ88WWvxalVGUZWoWLm,spotify:track:5SLZZ88WWvxalVGUZWoWLm,https://api.spotify.com/v1/tracks/5SLZZ88WWvxalVGUZWoWLm,https://api.spotify.com/v1/audio-analysis/5SLZZ88WWvxalVGUZWoWLm,285053,3
猫,0.506,0.769,3,-5.326,1,0.0363,0.113,0,0.0828,0.536,154.044,audio_features,6BUzABJiigBZ63Q8nIc5tM,spotify:track:6BUzABJiigBZ63Q8nIc5tM,https://api.spotify.com/v1/tracks/6BUzABJiigBZ63Q8nIc5tM,https://api.spotify.com/v1/audio-analysis/6BUzABJiigBZ63Q8nIc5tM,276040,4
猫 〜THE FIRST TAKE ver.〜,0.635,0.578,8,-6.749,1,0.132,0.539,0,0.115,0.584,77.065,audio_features,25BJRpLBe3i6d8okphoRAm,spotify:track:25BJRpLBe3i6d8okphoRAm,https://api.spotify.com/v1/tracks/25BJRpLBe3i6d8okphoRAm,https://api.spotify.com/v1/audio-analysis/25BJRpLBe3i6d8okphoRAm,273893,4
猫 〜THE FIRST TAKE ver.〜,0.641,0.576,8,-6.772,1,0.139,0.564,0,0.114,0.622,77.005,audio_features,38qQqIxE80HGZWbhCfN7hp,spotify:track:38qQqIxE80HGZWbhCfN7hp,https://api.spotify.com/v1/tracks/38qQqIxE80HGZWbhCfN7hp,https://api.spotify.com/v1/audio-analysis/38qQqIxE80HGZWbhCfN7hp,273233,4
猫 (in 2022),0.54,0.748,3,-4.692,1,0.0381,0.302,0,0.104,0.382,76.977,audio_features,5ZqqMQBrshZw2V5O0cu5S1,spotify:track:5ZqqMQBrshZw2V5O0cu5S1,https://api.spotify.com/v1/tracks/5ZqqMQBrshZw2V5O0cu5S1,https://api.spotify.com/v1/audio-analysis/5ZqqMQBrshZw2V5O0cu5S1,276160,4
僕たちがやりました(DISH//オリジナルver.),0.454,0.965,8,-3.272,0,0.0924,0.019,1.76e-06,0.38,0.571,84.858,audio_features,6eTaErqcQYsMXiU87I38WS,spotify:track:6eTaErqcQYsMXiU87I38WS,https://api.spotify.com/v1/tracks/6eTaErqcQYsMXiU87I38WS,https://api.spotify.com/v1/audio-analysis/6eTaErqcQYsMXiU87I38WS,194053,4
Replay,0.566,0.782,1,-5.567,1,0.0357,0.101,0,0.326,0.605,146.115,audio_features,55SdXSvpy9T6ROTab0MFUk,spotify:track:55SdXSvpy9T6ROTab0MFUk,https://api.spotify.com/v1/tracks/55SdXSvpy9T6ROTab0MFUk,https://api.spotify.com/v1/audio-analysis/55SdXSvpy9T6ROTab0MFUk,227133,4
ありのまんまが愛しい君へ,0.592,0.838,9,-4.142,1,0.0376,0.01,0,0.326,0.377,129.065,audio_features,0M7weglx299zGho7MbjoST,spotify:track:0M7weglx299zGho7MbjoST,https://api.spotify.com/v1/tracks/0M7weglx299zGho7MbjoST,https://api.spotify.com/v1/audio-analysis/0M7weglx299zGho7MbjoST,230000,4
勝手にMY SOUL,0.398,0.976,4,-2.099,1,0.199,0.00331,0,0.0994,0.499,159.97,audio_features,3eTlLNtRPYlrAJAEb55a9J,spotify:track:3eTlLNtRPYlrAJAEb55a9J,https://api.spotify.com/v1/tracks/3eTlLNtRPYlrAJAEb55a9J,https://api.spotify.com/v1/audio-analysis/3eTlLNtRPYlrAJAEb55a9J,268413,4
しわくちゃな雲を抱いて,0.58,0.888,4,-5.737,1,0.0374,0.00647,0,0.355,0.515,138.015,audio_features,2wTP562D8SY3ZHPVMivgHp,spotify:track:2wTP562D8SY3ZHPVMivgHp,https://api.spotify.com/v1/tracks/2wTP562D8SY3ZHPVMivgHp,https://api.spotify.com/v1/audio-analysis/2wTP562D8SY3ZHPVMivgHp,235342,4
勝手にMY SOUL,0.399,0.976,4,-2.099,1,0.196,0.0033,0,0.104,0.515,159.968,audio_features,1dzdcFlce5JkPCnZvDpUjx,spotify:track:1dzdcFlce5JkPCnZvDpUjx,https://api.spotify.com/v1/tracks/1dzdcFlce5JkPCnZvDpUjx,https://api.spotify.com/v1/audio-analysis/1dzdcFlce5JkPCnZvDpUjx,268413,4
DAWN (in 2022),0.606,0.829,4,-4.506,1,0.0319,0.0542,0,0.124,0.231,110.988,audio_features,4NLDom1ypxwD1y6iJrB0lT,spotify:track:4NLDom1ypxwD1y6iJrB0lT,https://api.spotify.com/v1/tracks/4NLDom1ypxwD1y6iJrB0lT,https://api.spotify.com/v1/audio-analysis/4NLDom1ypxwD1y6iJrB0lT,254827,4
缶ビール,0.633,0.781,11,-7.402,0,0.0612,0.36,0,0.0558,0.73,92.939,audio_features,0HHCZW7AeP2oXQbifIVrJw,spotify:track:0HHCZW7AeP2oXQbifIVrJw,https://api.spotify.com/v1/tracks/0HHCZW7AeP2oXQbifIVrJw,https://api.spotify.com/v1/audio-analysis/0HHCZW7AeP2oXQbifIVrJw,203373,4
猫 (in 2022),0.54,0.728,3,-5.265,1,0.039,0.282,0,0.106,0.401,76.998,audio_features,3e9CwcvZ22Rxy8iqpCC23d,spotify:track:3e9CwcvZ22Rxy8iqpCC23d,https://api.spotify.com/v1/tracks/3e9CwcvZ22Rxy8iqpCC23d,https://api.spotify.com/v1/audio-analysis/3e9CwcvZ22Rxy8iqpCC23d,273824,4
I Can Hear,0.592,0.962,5,-2.769,1,0.103,0.0237,0,0.466,0.588,95.021,audio_features,0L7fEOHGGwruAQEv5NDiYZ,spotify:track:0L7fEOHGGwruAQEv5NDiYZ,https://api.spotify.com/v1/tracks/0L7fEOHGGwruAQEv5NDiYZ,https://api.spotify.com/v1/audio-analysis/0L7fEOHGGwruAQEv5NDiYZ,253973,4
SIGH,0.497,0.826,2,-4.024,1,0.0322,0.00384,0,0.0851,0.408,91.938,audio_features,55U2gzS6vRz4YQdGtX8ApN,spotify:track:55U2gzS6vRz4YQdGtX8ApN,https://api.spotify.com/v1/tracks/55U2gzS6vRz4YQdGtX8ApN,https://api.spotify.com/v1/audio-analysis/55U2gzS6vRz4YQdGtX8ApN,252493,4
君がいないと,0.559,0.664,5,-4.466,1,0.0292,0.121,0,0.294,0.797,125.014,audio_features,06wfJjagfUhGm6V8VD499n,spotify:track:06wfJjagfUhGm6V8VD499n,https://api.spotify.com/v1/tracks/06wfJjagfUhGm6V8VD499n,https://api.spotify.com/v1/audio-analysis/06wfJjagfUhGm6V8VD499n,277667,4
あたりまえ,0.498,0.638,9,-5.24,1,0.0308,0.0519,1.05e-06,0.1,0.264,145.826,audio_features,7IdgQ0Po0pQ5MTKzboDyOo,spotify:track:7IdgQ0Po0pQ5MTKzboDyOo,https://api.spotify.com/v1/tracks/7IdgQ0Po0pQ5MTKzboDyOo,https://api.spotify.com/v1/audio-analysis/7IdgQ0Po0pQ5MTKzboDyOo,316867,4
理由のない恋,0.523,0.711,0,-4.226,1,0.0261,0.183,0,0.131,0.526,85.013,audio_features,3LnoHYmqhGCVS8GMa7KyDg,spotify:track:3LnoHYmqhGCVS8GMa7KyDg,https://api.spotify.com/v1/tracks/3LnoHYmqhGCVS8GMa7KyDg,https://api.spotify.com/v1/audio-analysis/3LnoHYmqhGCVS8GMa7KyDg,306707,4
