name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Deadly Drive,0.465,0.965,1,-2.908,0,0.0756,9.75e-05,0,0.159,0.479,100.116,audio_features,2ZSDd4CGzdAKZydSl2M2mA,spotify:track:2ZSDd4CGzdAKZydSl2M2mA,https://api.spotify.com/v1/tracks/2ZSDd4CGzdAKZydSl2M2mA,https://api.spotify.com/v1/audio-analysis/2ZSDd4CGzdAKZydSl2M2mA,239053,4
Can Do,0.426,0.972,9,-2.079,1,0.108,0.000867,1.16e-06,0.34,0.52,99.933,audio_features,5uO1I9RPHQLDBmsAtFHleG,spotify:track:5uO1I9RPHQLDBmsAtFHleG,https://api.spotify.com/v1/tracks/5uO1I9RPHQLDBmsAtFHleG,https://api.spotify.com/v1/audio-analysis/5uO1I9RPHQLDBmsAtFHleG,264747,4
TRASH CANDY,0.463,0.971,7,-3.373,1,0.136,0.0014,0,0.306,0.448,91.035,audio_features,0FuFovPx3x77CRFtt22Q3H,spotify:track:0FuFovPx3x77CRFtt22Q3H,https://api.spotify.com/v1/tracks/0FuFovPx3x77CRFtt22Q3H,https://api.spotify.com/v1/audio-analysis/0FuFovPx3x77CRFtt22Q3H,286293,4
Can Do,0.493,0.974,9,-2.373,1,0.0966,0.00248,0,0.316,0.529,100.165,audio_features,0mJfQhcSwE5caboPNv9JL1,spotify:track:0mJfQhcSwE5caboPNv9JL1,https://api.spotify.com/v1/tracks/0mJfQhcSwE5caboPNv9JL1,https://api.spotify.com/v1/audio-analysis/0mJfQhcSwE5caboPNv9JL1,263773,4
メモリーズ,0.489,0.964,5,-3.425,0,0.0694,5.94e-05,0,0.128,0.53,95.01,audio_features,6IJeLC0WWeACqXFfixbfip,spotify:track:6IJeLC0WWeACqXFfixbfip,https://api.spotify.com/v1/tracks/6IJeLC0WWeACqXFfixbfip,https://api.spotify.com/v1/audio-analysis/6IJeLC0WWeACqXFfixbfip,288667,4
BEASTFUL,0.472,0.983,7,-3.421,1,0.101,0.000609,0,0.0289,0.334,100.001,audio_features,3KGvtiWGmLP5LZRdTG3tEd,spotify:track:3KGvtiWGmLP5LZRdTG3tEd,https://api.spotify.com/v1/tracks/3KGvtiWGmLP5LZRdTG3tEd,https://api.spotify.com/v1/audio-analysis/3KGvtiWGmLP5LZRdTG3tEd,277600,4
Treasure Pleasure,0.516,0.966,2,-2.638,1,0.133,0.00271,0,0.134,0.517,135.112,audio_features,31IsUHGCy44gncBTDw0FZF,spotify:track:31IsUHGCy44gncBTDw0FZF,https://api.spotify.com/v1/tracks/31IsUHGCy44gncBTDw0FZF,https://api.spotify.com/v1/audio-analysis/31IsUHGCy44gncBTDw0FZF,288413,4
The Other self,0.4,0.951,2,-1.976,1,0.0849,0.0103,0,0.311,0.489,150.005,audio_features,1YqYIXLFz5Hbw62dfHbbHL,spotify:track:1YqYIXLFz5Hbw62dfHbbHL,https://api.spotify.com/v1/tracks/1YqYIXLFz5Hbw62dfHbbHL,https://api.spotify.com/v1/audio-analysis/1YqYIXLFz5Hbw62dfHbbHL,283933,4
セツナの愛,0.467,0.923,5,-3.476,0,0.121,0.00297,0,0.294,0.659,164.936,audio_features,6GppTDfQGwYVT8N9mtUQA8,spotify:track:6GppTDfQGwYVT8N9mtUQA8,https://api.spotify.com/v1/tracks/6GppTDfQGwYVT8N9mtUQA8,https://api.spotify.com/v1/audio-analysis/6GppTDfQGwYVT8N9mtUQA8,273587,4
Treasure Pleasure,0.472,0.957,2,-3.284,1,0.186,0.0027,0,0.116,0.523,135.079,audio_features,1SrZaHNd6nsxO25MPUqDlS,spotify:track:1SrZaHNd6nsxO25MPUqDlS,https://api.spotify.com/v1/tracks/1SrZaHNd6nsxO25MPUqDlS,https://api.spotify.com/v1/audio-analysis/1SrZaHNd6nsxO25MPUqDlS,289360,4
