name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
WA DA DA,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,audio_features,4gdiCHNbwugojBqr5Jt3pq,spotify:track:4gdiCHNbwugojBqr5Jt3pq,https://api.spotify.com/v1/tracks/4gdiCHNbwugojBqr5Jt3pq,https://api.spotify.com/v1/audio-analysis/4gdiCHNbwugojBqr5Jt3pq,183693,4
Wing Wing,0.734,0.904,11,-2.819,0,0.105,0.0202,0.00135,0.0388,0.631,128.064,audio_features,1aWBbJI4wxnDNqQjbsaPFd,spotify:track:1aWBbJI4wxnDNqQjbsaPFd,https://api.spotify.com/v1/tracks/1aWBbJI4wxnDNqQjbsaPFd,https://api.spotify.com/v1/audio-analysis/1aWBbJI4wxnDNqQjbsaPFd,195227,4
Up!,0.753,0.932,6,-2.706,1,0.119,0.0205,4.31e-06,0.0326,0.918,124.006,audio_features,3XZAvh2NCDQYHgJei35VQ1,spotify:track:3XZAvh2NCDQYHgJei35VQ1,https://api.spotify.com/v1/tracks/3XZAvh2NCDQYHgJei35VQ1,https://api.spotify.com/v1/audio-analysis/3XZAvh2NCDQYHgJei35VQ1,192027,4
We Fresh,0.764,0.924,1,-1.584,1,0.138,0.00846,0.000169,0.357,0.625,126.994,audio_features,7tMN3tczfA8zwcD4jlCsRh,spotify:track:7tMN3tczfA8zwcD4jlCsRh,https://api.spotify.com/v1/tracks/7tMN3tczfA8zwcD4jlCsRh,https://api.spotify.com/v1/audio-analysis/7tMN3tczfA8zwcD4jlCsRh,195880,4
MVSK,0.798,0.945,1,-3.02,1,0.176,0.0189,0,0.127,0.658,129.95,audio_features,0dTEMO9G2uu9Vbu3f8Swto,spotify:track:0dTEMO9G2uu9Vbu3f8Swto,https://api.spotify.com/v1/tracks/0dTEMO9G2uu9Vbu3f8Swto,https://api.spotify.com/v1/audio-analysis/0dTEMO9G2uu9Vbu3f8Swto,190707,4
Sugar Rush,0.808,0.85,1,-3.316,1,0.186,0.0573,0,0.0349,0.861,154.038,audio_features,3nEUtYp1LdZCTVtbtXY5kx,spotify:track:3nEUtYp1LdZCTVtbtXY5kx,https://api.spotify.com/v1/tracks/3nEUtYp1LdZCTVtbtXY5kx,https://api.spotify.com/v1/audio-analysis/3nEUtYp1LdZCTVtbtXY5kx,177573,4
Wing Wing,0.734,0.904,11,-2.819,0,0.105,0.0202,0.00135,0.0388,0.631,128.064,audio_features,1uKI4JKUIUJC0aXJqKCl6y,spotify:track:1uKI4JKUIUJC0aXJqKCl6y,https://api.spotify.com/v1/tracks/1uKI4JKUIUJC0aXJqKCl6y,https://api.spotify.com/v1/audio-analysis/1uKI4JKUIUJC0aXJqKCl6y,195227,4
Dreams,0.495,0.94,4,-2.778,1,0.199,0.142,0,0.304,0.568,168.297,audio_features,20ZMsTmsw6JlEQn1PAc79Y,spotify:track:20ZMsTmsw6JlEQn1PAc79Y,https://api.spotify.com/v1/tracks/20ZMsTmsw6JlEQn1PAc79Y,https://api.spotify.com/v1/audio-analysis/20ZMsTmsw6JlEQn1PAc79Y,202467,4
LE VOYA9E,0.711,0.679,7,-4.048,1,0.0875,0.175,4.57e-06,0.258,0.495,93.069,audio_features,6htqtlGbLmPZ1LdMWxAhoZ,spotify:track:6htqtlGbLmPZ1LdMWxAhoZ,https://api.spotify.com/v1/tracks/6htqtlGbLmPZ1LdMWxAhoZ,https://api.spotify.com/v1/audio-analysis/6htqtlGbLmPZ1LdMWxAhoZ,216320,4
THE GIRLS (Can’t turn me down),0.624,0.878,8,-2.19,1,0.0594,0.0277,0,0.167,0.265,171.911,audio_features,5bZ8iEjZ0iLq6Hr6GPWsUR,spotify:track:5bZ8iEjZ0iLq6Hr6GPWsUR,https://api.spotify.com/v1/tracks/5bZ8iEjZ0iLq6Hr6GPWsUR,https://api.spotify.com/v1/audio-analysis/5bZ8iEjZ0iLq6Hr6GPWsUR,238133,4
Downtown,0.623,0.88,7,-2.87,1,0.164,0.0498,1.42e-05,0.225,0.603,89.965,audio_features,1Yl7NQJ9pGMXm6hOXQaYgs,spotify:track:1Yl7NQJ9pGMXm6hOXQaYgs,https://api.spotify.com/v1/tracks/1Yl7NQJ9pGMXm6hOXQaYgs,https://api.spotify.com/v1/audio-analysis/1Yl7NQJ9pGMXm6hOXQaYgs,157653,4
THE GIRLS (Can’t turn me down) (Remastered),0.631,0.866,8,-2.749,1,0.053,0.0269,0,0.279,0.233,171.92,audio_features,4J4OBQ69Fx4ST0doz48FE4,spotify:track:4J4OBQ69Fx4ST0doz48FE4,https://api.spotify.com/v1/tracks/4J4OBQ69Fx4ST0doz48FE4,https://api.spotify.com/v1/audio-analysis/4J4OBQ69Fx4ST0doz48FE4,237960,4
Daisy,0.718,0.802,7,-3.232,1,0.0539,0.13,0,0.324,0.804,121.024,audio_features,6jql35WDVQEgTRHvUTPOrd,spotify:track:6jql35WDVQEgTRHvUTPOrd,https://api.spotify.com/v1/tracks/6jql35WDVQEgTRHvUTPOrd,https://api.spotify.com/v1/audio-analysis/6jql35WDVQEgTRHvUTPOrd,176747,4
O.O.O (Over&Over&Over) - Kep1er Version,0.637,0.94,7,-3.833,1,0.0811,0.00397,7.63e-06,0.225,0.696,127.923,audio_features,7evscakvct5wDmr1ap0CYl,spotify:track:7evscakvct5wDmr1ap0CYl,https://api.spotify.com/v1/tracks/7evscakvct5wDmr1ap0CYl,https://api.spotify.com/v1/audio-analysis/7evscakvct5wDmr1ap0CYl,247667,4
