name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
アイビー,0.617,0.844,9,-5.666,1,0.039,0.0592,0,0.227,0.542,125.007,audio_features,07gylzmVA6F1QyznFQpjHM,spotify:track:07gylzmVA6F1QyznFQpjHM,https://api.spotify.com/v1/tracks/07gylzmVA6F1QyznFQpjHM,https://api.spotify.com/v1/audio-analysis/07gylzmVA6F1QyznFQpjHM,204320,4
決戦エンドレス,0.559,0.947,8,-3.395,1,0.0599,0.00582,0,0.334,0.713,124.977,audio_features,48R8rSGFO2snJ5QSe5BGIH,spotify:track:48R8rSGFO2snJ5QSe5BGIH,https://api.spotify.com/v1/tracks/48R8rSGFO2snJ5QSe5BGIH,https://api.spotify.com/v1/audio-analysis/48R8rSGFO2snJ5QSe5BGIH,241040,4
I,0.711,0.953,5,-4.346,1,0.059,0.132,0,0.778,0.895,136.028,audio_features,5itlubkXfv8xdHlZvj7X4r,spotify:track:5itlubkXfv8xdHlZvj7X4r,https://api.spotify.com/v1/tracks/5itlubkXfv8xdHlZvj7X4r,https://api.spotify.com/v1/audio-analysis/5itlubkXfv8xdHlZvj7X4r,230600,4
Vampire Knight,0.534,0.864,9,-4.648,0,0.109,0.0113,9.19e-06,0.254,0.283,111.945,audio_features,2wYn0b3TbVnQ81pKnTBhcp,spotify:track:2wYn0b3TbVnQ81pKnTBhcp,https://api.spotify.com/v1/tracks/2wYn0b3TbVnQ81pKnTBhcp,https://api.spotify.com/v1/audio-analysis/2wYn0b3TbVnQ81pKnTBhcp,195880,4
Answer,0.77,0.86,8,-4.556,1,0.105,0.11,0,0.411,0.704,115.054,audio_features,1QzBjbOJXRatzsAMzOUT45,spotify:track:1QzBjbOJXRatzsAMzOUT45,https://api.spotify.com/v1/tracks/1QzBjbOJXRatzsAMzOUT45,https://api.spotify.com/v1/audio-analysis/1QzBjbOJXRatzsAMzOUT45,203560,4
PLAYER,0.637,0.954,6,-3.985,1,0.247,0.0928,0,0.365,0.692,131.932,audio_features,5GPvr0FNQ6RqU6kKZqN1LS,spotify:track:5GPvr0FNQ6RqU6kKZqN1LS,https://api.spotify.com/v1/tracks/5GPvr0FNQ6RqU6kKZqN1LS,https://api.spotify.com/v1/audio-analysis/5GPvr0FNQ6RqU6kKZqN1LS,202440,4
Shall we Dance!!,0.703,0.854,11,-3.81,1,0.0369,0.067,0,0.0665,0.712,121.996,audio_features,4JOxgsQxW9t3epxKcPHS8J,spotify:track:4JOxgsQxW9t3epxKcPHS8J,https://api.spotify.com/v1/tracks/4JOxgsQxW9t3epxKcPHS8J,https://api.spotify.com/v1/audio-analysis/4JOxgsQxW9t3epxKcPHS8J,183973,4
ヒバリ,0.512,0.949,2,-3.671,1,0.104,0.0299,0,0.268,0.782,165.975,audio_features,23W0D3PsjrGSCKSZ3ESKaw,spotify:track:23W0D3PsjrGSCKSZ3ESKaw,https://api.spotify.com/v1/tracks/23W0D3PsjrGSCKSZ3ESKaw,https://api.spotify.com/v1/audio-analysis/23W0D3PsjrGSCKSZ3ESKaw,191693,4
Attention Lies,0.695,0.792,6,-4.44,1,0.112,0.0576,0,0.0858,0.951,129.993,audio_features,2XvuJ0OSBZHwo89CvUdbj2,spotify:track:2XvuJ0OSBZHwo89CvUdbj2,https://api.spotify.com/v1/tracks/2XvuJ0OSBZHwo89CvUdbj2,https://api.spotify.com/v1/audio-analysis/2XvuJ0OSBZHwo89CvUdbj2,218840,4
ヤミィ,0.633,0.97,0,-2.378,1,0.0979,0.139,0,0.295,0.403,110.032,audio_features,7Lqk25FwA0D8NaKeZ87kUe,spotify:track:7Lqk25FwA0D8NaKeZ87kUe,https://api.spotify.com/v1/tracks/7Lqk25FwA0D8NaKeZ87kUe,https://api.spotify.com/v1/audio-analysis/7Lqk25FwA0D8NaKeZ87kUe,282860,4
