name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Good Mood,0.664,0.628,0,-7.343,1,0.115,0.214,0,0.528,0.727,155.932,audio_features,7iJFNneU6oFCZEmlY8OLfN,spotify:track:7iJFNneU6oFCZEmlY8OLfN,https://api.spotify.com/v1/tracks/7iJFNneU6oFCZEmlY8OLfN,https://api.spotify.com/v1/audio-analysis/7iJFNneU6oFCZEmlY8OLfN,189184,4
Tu Turrito,0.838,0.545,9,-6.1,0,0.0604,0.0966,0,0.0927,0.428,90.023,audio_features,45dlaEXrXW47TVbrQ4gK7E,spotify:track:45dlaEXrXW47TVbrQ4gK7E,https://api.spotify.com/v1/tracks/45dlaEXrXW47TVbrQ4gK7E,https://api.spotify.com/v1/audio-analysis/45dlaEXrXW47TVbrQ4gK7E,164701,4
FERNET,0.71,0.738,6,-4.077,0,0.0861,0.156,0,0.0661,0.608,98.958,audio_features,2GVahxIzxivfRZc8lR39Ms,spotify:track:2GVahxIzxivfRZc8lR39Ms,https://api.spotify.com/v1/tracks/2GVahxIzxivfRZc8lR39Ms,https://api.spotify.com/v1/audio-analysis/2GVahxIzxivfRZc8lR39Ms,192668,4
SOMOS NOSOTROS,0.689,0.41,1,-5.593,1,0.0304,0.852,0,0.122,0.898,90.034,audio_features,2u3Hwa2fckCMGb5vo8DBbJ,spotify:track:2u3Hwa2fckCMGb5vo8DBbJ,https://api.spotify.com/v1/tracks/2u3Hwa2fckCMGb5vo8DBbJ,https://api.spotify.com/v1/audio-analysis/2u3Hwa2fckCMGb5vo8DBbJ,122667,4
Dimelo Rei,0.749,0.716,6,-8.162,0,0.211,0.335,0,0.118,0.573,149.953,audio_features,6doqO46LdQrFtl2GquAZ0A,spotify:track:6doqO46LdQrFtl2GquAZ0A,https://api.spotify.com/v1/tracks/6doqO46LdQrFtl2GquAZ0A,https://api.spotify.com/v1/audio-analysis/6doqO46LdQrFtl2GquAZ0A,201600,4
Pechito Partido,0.829,0.633,0,-6.295,1,0.0723,0.169,0,0.207,0.598,89.961,audio_features,1IT2VUL1Nx6Y3AdCfm0wcO,spotify:track:1IT2VUL1Nx6Y3AdCfm0wcO,https://api.spotify.com/v1/tracks/1IT2VUL1Nx6Y3AdCfm0wcO,https://api.spotify.com/v1/audio-analysis/1IT2VUL1Nx6Y3AdCfm0wcO,147109,4
Good Mood,0.664,0.628,0,-7.343,1,0.115,0.214,0,0.528,0.727,155.932,audio_features,1gYAAvuBoE86oa6dfT4mTw,spotify:track:1gYAAvuBoE86oa6dfT4mTw,https://api.spotify.com/v1/tracks/1gYAAvuBoE86oa6dfT4mTw,https://api.spotify.com/v1/audio-analysis/1gYAAvuBoE86oa6dfT4mTw,189184,4
Too Easy,0.822,0.62,1,-8.881,0,0.172,0.0569,0,0.299,0.545,96.01,audio_features,1k4FixtM6uW8k45xuq5tSE,spotify:track:1k4FixtM6uW8k45xuq5tSE,https://api.spotify.com/v1/tracks/1k4FixtM6uW8k45xuq5tSE,https://api.spotify.com/v1/audio-analysis/1k4FixtM6uW8k45xuq5tSE,209386,4
Motoquera,0.496,0.815,4,-5.429,0,0.0939,0.106,1.08e-06,0.0891,0.348,69.186,audio_features,36shWdXMTiPo8HD1J1w84S,spotify:track:36shWdXMTiPo8HD1J1w84S,https://api.spotify.com/v1/tracks/36shWdXMTiPo8HD1J1w84S,https://api.spotify.com/v1/audio-analysis/36shWdXMTiPo8HD1J1w84S,181184,3
4:19,0.572,0.451,11,-13.924,1,0.0639,0.781,0.000218,0.103,0.126,106.061,audio_features,4JRyjpxVFCUupV7YtChyZx,spotify:track:4JRyjpxVFCUupV7YtChyZx,https://api.spotify.com/v1/tracks/4JRyjpxVFCUupV7YtChyZx,https://api.spotify.com/v1/audio-analysis/4JRyjpxVFCUupV7YtChyZx,124830,4
