name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
空っぽの心,0.572,0.798,11,-5.29,0,0.051,0.00881,0,0.383,0.933,160.012,audio_features,66EyebDoG7vr9AzvRbJ9H0,spotify:track:66EyebDoG7vr9AzvRbJ9H0,https://api.spotify.com/v1/tracks/66EyebDoG7vr9AzvRbJ9H0,https://api.spotify.com/v1/audio-analysis/66EyebDoG7vr9AzvRbJ9H0,196907,4
少しづつ 少しづつ,0.522,0.593,11,-6.025,1,0.0248,0.49,0,0.233,0.296,95.009,audio_features,5z195cX6vet4MLLI5rcWWn,spotify:track:5z195cX6vet4MLLI5rcWWn,https://api.spotify.com/v1/tracks/5z195cX6vet4MLLI5rcWWn,https://api.spotify.com/v1/audio-analysis/5z195cX6vet4MLLI5rcWWn,316147,4
突然,0.635,0.855,1,-4.75,1,0.0306,0.0669,9.19e-06,0.37,0.655,111.944,audio_features,6kYIFIX7AdblWqeUjV93AO,spotify:track:6kYIFIX7AdblWqeUjV93AO,https://api.spotify.com/v1/tracks/6kYIFIX7AdblWqeUjV93AO,https://api.spotify.com/v1/audio-analysis/6kYIFIX7AdblWqeUjV93AO,258840,4
Good-bye My Loneliness,0.759,0.658,5,-6.767,1,0.0246,0.0783,9.59e-05,0.102,0.757,110.016,audio_features,5zhPvJw9nc9ziHrMIC4kkP,spotify:track:5zhPvJw9nc9ziHrMIC4kkP,https://api.spotify.com/v1/tracks/5zhPvJw9nc9ziHrMIC4kkP,https://api.spotify.com/v1/audio-analysis/5zhPvJw9nc9ziHrMIC4kkP,280947,4
あの夏の恋は眩しくて,0.656,0.77,7,-5.851,1,0.0332,0.0494,0,0.308,0.422,109.971,audio_features,3fkyARzIsyaJjOMwiCb0x7,spotify:track:3fkyARzIsyaJjOMwiCb0x7,https://api.spotify.com/v1/tracks/3fkyARzIsyaJjOMwiCb0x7,https://api.spotify.com/v1/audio-analysis/3fkyARzIsyaJjOMwiCb0x7,269182,4
負けないで,0.652,0.935,7,-4.781,1,0.0317,0.00617,0,0.0908,0.863,130.014,audio_features,0v5fJMiNWfMvr1YEnuO2Ws,spotify:track:0v5fJMiNWfMvr1YEnuO2Ws,https://api.spotify.com/v1/tracks/0v5fJMiNWfMvr1YEnuO2Ws,https://api.spotify.com/v1/audio-analysis/0v5fJMiNWfMvr1YEnuO2Ws,224973,4
愛は暗闇の中で,0.483,0.919,7,-4.656,0,0.0627,0.00703,0,0.135,0.675,161.988,audio_features,23DM4ZTvj6F22VrNJjeWU4,spotify:track:23DM4ZTvj6F22VrNJjeWU4,https://api.spotify.com/v1/tracks/23DM4ZTvj6F22VrNJjeWU4,https://api.spotify.com/v1/audio-analysis/23DM4ZTvj6F22VrNJjeWU4,277813,4
永遠,0.432,0.604,4,-4.909,1,0.0271,0.608,1.1e-06,0.36,0.141,153.855,audio_features,5qNYiD2tGtu3cHhcQiMBax,spotify:track:5qNYiD2tGtu3cHhcQiMBax,https://api.spotify.com/v1/tracks/5qNYiD2tGtu3cHhcQiMBax,https://api.spotify.com/v1/audio-analysis/5qNYiD2tGtu3cHhcQiMBax,229213,4
少しづつ 少しづつ,0.516,0.583,11,-6.654,1,0.025,0.478,0,0.288,0.29,95.015,audio_features,6Ch6l4Zv0hQ8ZSCfCWjMzD,spotify:track:6Ch6l4Zv0hQ8ZSCfCWjMzD,https://api.spotify.com/v1/tracks/6Ch6l4Zv0hQ8ZSCfCWjMzD,https://api.spotify.com/v1/audio-analysis/6Ch6l4Zv0hQ8ZSCfCWjMzD,315160,4
運命のルーレット廻して,0.535,0.885,9,-4.901,1,0.0416,0.00604,7.55e-06,0.0454,0.434,141.923,audio_features,2krbJVFIBP88Oeldc10avo,spotify:track:2krbJVFIBP88Oeldc10avo,https://api.spotify.com/v1/tracks/2krbJVFIBP88Oeldc10avo,https://api.spotify.com/v1/audio-analysis/2krbJVFIBP88Oeldc10avo,212040,4
これからの君に乾杯,0.608,0.921,1,-4.203,1,0.0388,0.049,0,0.108,0.597,131.971,audio_features,5wAKejjKYkEcPuEhk5e0fO,spotify:track:5wAKejjKYkEcPuEhk5e0fO,https://api.spotify.com/v1/tracks/5wAKejjKYkEcPuEhk5e0fO,https://api.spotify.com/v1/audio-analysis/5wAKejjKYkEcPuEhk5e0fO,251107,4
擦り傷だらけの純情,0.525,0.89,4,-5.279,0,0.0455,0.0171,0,0.374,0.735,160.022,audio_features,0ZpdnBHqCHCDLDILlDstsr,spotify:track:0ZpdnBHqCHCDLDILlDstsr,https://api.spotify.com/v1/tracks/0ZpdnBHqCHCDLDILlDstsr,https://api.spotify.com/v1/audio-analysis/0ZpdnBHqCHCDLDILlDstsr,216680,4
遠い星を数えて,0.689,0.694,7,-6.347,1,0.0252,0.199,0.000125,0.124,0.552,105.892,audio_features,7iZF082X3hQ7jEUPjSQ2CR,spotify:track:7iZF082X3hQ7jEUPjSQ2CR,https://api.spotify.com/v1/tracks/7iZF082X3hQ7jEUPjSQ2CR,https://api.spotify.com/v1/audio-analysis/7iZF082X3hQ7jEUPjSQ2CR,306613,4
君に逢いたくなったら⋯,0.687,0.675,9,-5.545,1,0.0267,0.452,0,0.166,0.5,107.961,audio_features,76mSoRbSr96s6ZP7F5PbWD,spotify:track:76mSoRbSr96s6ZP7F5PbWD,https://api.spotify.com/v1/tracks/76mSoRbSr96s6ZP7F5PbWD,https://api.spotify.com/v1/audio-analysis/76mSoRbSr96s6ZP7F5PbWD,224560,4
かけがえのないもの,0.525,0.617,8,-5.196,1,0.0263,0.385,0,0.0815,0.397,82.933,audio_features,36H0cCqAishkoCFoI5gnYl,spotify:track:36H0cCqAishkoCFoI5gnYl,https://api.spotify.com/v1/tracks/36H0cCqAishkoCFoI5gnYl,https://api.spotify.com/v1/audio-analysis/36H0cCqAishkoCFoI5gnYl,262293,4
心を開いて,0.732,0.807,8,-5.609,1,0.0264,0.18,0,0.208,0.777,111.999,audio_features,1uxwcvaQYyBfuqWzGweeNQ,spotify:track:1uxwcvaQYyBfuqWzGweeNQ,https://api.spotify.com/v1/tracks/1uxwcvaQYyBfuqWzGweeNQ,https://api.spotify.com/v1/audio-analysis/1uxwcvaQYyBfuqWzGweeNQ,239733,4
君には敵わない,0.641,0.864,0,-5.811,1,0.0368,0.0618,0.00614,0.127,0.584,127.951,audio_features,3uA9cRrs6WDeHU1WI1zRyv,spotify:track:3uA9cRrs6WDeHU1WI1zRyv,https://api.spotify.com/v1/tracks/3uA9cRrs6WDeHU1WI1zRyv,https://api.spotify.com/v1/audio-analysis/3uA9cRrs6WDeHU1WI1zRyv,279627,4
あの微笑みを忘れないで,0.675,0.887,6,-4.383,1,0.0406,0.165,0,0.153,0.653,130.002,audio_features,4eZSGZgbrjbqCzHAV0JmBN,spotify:track:4eZSGZgbrjbqCzHAV0JmBN,https://api.spotify.com/v1/tracks/4eZSGZgbrjbqCzHAV0JmBN,https://api.spotify.com/v1/audio-analysis/4eZSGZgbrjbqCzHAV0JmBN,259453,4
あの夏の恋は眩しくて,0.653,0.773,7,-5.992,1,0.032,0.0414,0,0.306,0.485,109.974,audio_features,0ETNohDWdrufTgnK6minlQ,spotify:track:0ETNohDWdrufTgnK6minlQ,https://api.spotify.com/v1/tracks/0ETNohDWdrufTgnK6minlQ,https://api.spotify.com/v1/audio-analysis/0ETNohDWdrufTgnK6minlQ,268400,4
瞳そらさないで,0.615,0.74,9,-5.1,1,0.0307,0.119,0,0.156,0.59,127.998,audio_features,29GPbbxQRHuaowncWY1vQM,spotify:track:29GPbbxQRHuaowncWY1vQM,https://api.spotify.com/v1/tracks/29GPbbxQRHuaowncWY1vQM,https://api.spotify.com/v1/audio-analysis/29GPbbxQRHuaowncWY1vQM,280520,4
オレンジ色,0.584,0.76,7,-5.383,1,0.0275,0.0342,1.93e-06,0.119,0.712,140.092,audio_features,1NeZjc4jwAL62qX4GJZfJb,spotify:track:1NeZjc4jwAL62qX4GJZfJb,https://api.spotify.com/v1/tracks/1NeZjc4jwAL62qX4GJZfJb,https://api.spotify.com/v1/audio-analysis/1NeZjc4jwAL62qX4GJZfJb,260253,4
ブラックコーヒー,0.49,0.592,8,-7.884,1,0.0274,0.134,0,0.0895,0.236,159.556,audio_features,2eRFrN6NUIfFEEwLPPPThC,spotify:track:2eRFrN6NUIfFEEwLPPPThC,https://api.spotify.com/v1/tracks/2eRFrN6NUIfFEEwLPPPThC,https://api.spotify.com/v1/audio-analysis/2eRFrN6NUIfFEEwLPPPThC,248440,4
サヨナラは今もこの胸に居ます,0.721,0.686,3,-6.157,0,0.0269,0.464,0,0.192,0.593,107.965,audio_features,3hf4QN5MGIKnIXKdLBgIkP,spotify:track:3hf4QN5MGIKnIXKdLBgIkP,https://api.spotify.com/v1/tracks/3hf4QN5MGIKnIXKdLBgIkP,https://api.spotify.com/v1/audio-analysis/3hf4QN5MGIKnIXKdLBgIkP,308227,4
星のかがやきよ,0.543,0.866,11,-5.147,1,0.0494,0.154,0,0.33,0.386,154.927,audio_features,4gE6LagvsajqvaSofw7ub8,spotify:track:4gE6LagvsajqvaSofw7ub8,https://api.spotify.com/v1/tracks/4gE6LagvsajqvaSofw7ub8,https://api.spotify.com/v1/audio-analysis/4gE6LagvsajqvaSofw7ub8,224453,4
Get U’re Dream,0.402,0.708,8,-5.754,1,0.0336,0.0485,2.29e-06,0.109,0.372,110.694,audio_features,4Enlgf82t9kEn32TYkDDtb,spotify:track:4Enlgf82t9kEn32TYkDDtb,https://api.spotify.com/v1/tracks/4Enlgf82t9kEn32TYkDDtb,https://api.spotify.com/v1/audio-analysis/4Enlgf82t9kEn32TYkDDtb,315480,4
クリスマス タイム,0.411,0.835,4,-6.636,1,0.0351,0.0122,0.00447,0.167,0.397,130.739,audio_features,6rzRZ7g2lWVzqNLMIaNOu4,spotify:track:6rzRZ7g2lWVzqNLMIaNOu4,https://api.spotify.com/v1/tracks/6rzRZ7g2lWVzqNLMIaNOu4,https://api.spotify.com/v1/audio-analysis/6rzRZ7g2lWVzqNLMIaNOu4,293347,4
こんなにそばに居るのに,0.607,0.917,7,-5.792,1,0.0392,0.0654,2.26e-06,0.139,0.808,138.004,audio_features,6MlsMzjwJZf15DguuNpEUU,spotify:track:6MlsMzjwJZf15DguuNpEUU,https://api.spotify.com/v1/tracks/6MlsMzjwJZf15DguuNpEUU,https://api.spotify.com/v1/audio-analysis/6MlsMzjwJZf15DguuNpEUU,330360,4
少しづつ 少しづつ,0.522,0.593,11,-6.025,1,0.0248,0.49,0,0.233,0.296,95.009,audio_features,4biNlUwrncQ4WZj4DIsuD8,spotify:track:4biNlUwrncQ4WZj4DIsuD8,https://api.spotify.com/v1/tracks/4biNlUwrncQ4WZj4DIsuD8,https://api.spotify.com/v1/audio-analysis/4biNlUwrncQ4WZj4DIsuD8,316147,4
夏の恋はいつもドラマティック,0.655,0.887,7,-5.074,0,0.033,0.337,5.34e-05,0.169,0.768,121.015,audio_features,1uT0gzkegcQQm2czNfajiT,spotify:track:1uT0gzkegcQQm2czNfajiT,https://api.spotify.com/v1/tracks/1uT0gzkegcQQm2czNfajiT,https://api.spotify.com/v1/audio-analysis/1uT0gzkegcQQm2czNfajiT,315190,4
もう少し あと少し…,0.643,0.646,3,-5.853,0,0.0269,0.17,0,0.133,0.278,118.938,audio_features,53e4v531AjM7Y5gKeR3rXP,spotify:track:53e4v531AjM7Y5gKeR3rXP,https://api.spotify.com/v1/tracks/53e4v531AjM7Y5gKeR3rXP,https://api.spotify.com/v1/audio-analysis/53e4v531AjM7Y5gKeR3rXP,291613,4
夏の恋はいつもドラマティック,0.657,0.889,7,-5.033,0,0.0317,0.299,0.000163,0.166,0.746,120.995,audio_features,7Evpel4NhCgK2p6UYjOjuZ,spotify:track:7Evpel4NhCgK2p6UYjOjuZ,https://api.spotify.com/v1/tracks/7Evpel4NhCgK2p6UYjOjuZ,https://api.spotify.com/v1/audio-analysis/7Evpel4NhCgK2p6UYjOjuZ,315173,4
世界はきっと未来の中,0.645,0.824,8,-5.504,1,0.0323,0.0321,5.06e-06,0.122,0.691,130.936,audio_features,3x2wrfPhcqEciUoMlflXEn,spotify:track:3x2wrfPhcqEciUoMlflXEn,https://api.spotify.com/v1/tracks/3x2wrfPhcqEciUoMlflXEn,https://api.spotify.com/v1/audio-analysis/3x2wrfPhcqEciUoMlflXEn,245293,4
あなたを感じていたい,0.597,0.716,11,-6.483,1,0.0347,0.0606,2.86e-06,0.105,0.369,125.992,audio_features,7GcIKaak4JQn8nzd4RXTHx,spotify:track:7GcIKaak4JQn8nzd4RXTHx,https://api.spotify.com/v1/tracks/7GcIKaak4JQn8nzd4RXTHx,https://api.spotify.com/v1/audio-analysis/7GcIKaak4JQn8nzd4RXTHx,289747,4
来年の夏も,0.448,0.591,7,-7.075,0,0.0338,0.148,8.62e-05,0.0665,0.322,116.49,audio_features,72wyuHHvC5mKuHytaZTuw7,spotify:track:72wyuHHvC5mKuHytaZTuw7,https://api.spotify.com/v1/tracks/72wyuHHvC5mKuHytaZTuw7,https://api.spotify.com/v1/audio-analysis/72wyuHHvC5mKuHytaZTuw7,304360,4
夏の終わりに…,0.639,0.693,1,-6.58,0,0.0258,0.382,1.26e-06,0.148,0.427,109.983,audio_features,3lmgD6eu9voIo7S1s9RosL,spotify:track:3lmgD6eu9voIo7S1s9RosL,https://api.spotify.com/v1/tracks/3lmgD6eu9voIo7S1s9RosL,https://api.spotify.com/v1/audio-analysis/3lmgD6eu9voIo7S1s9RosL,332133,4
黒い薔薇,0.654,0.921,7,-5.464,1,0.0455,0.0156,9.5e-06,0.318,0.632,117.977,audio_features,19OSk83lNfp1lAzfzArGd2,spotify:track:19OSk83lNfp1lAzfzArGd2,https://api.spotify.com/v1/tracks/19OSk83lNfp1lAzfzArGd2,https://api.spotify.com/v1/audio-analysis/19OSk83lNfp1lAzfzArGd2,211520,4
遠い日のNostalgia,0.687,0.747,1,-6.825,1,0.0263,0.0646,0.000222,0.148,0.517,101.956,audio_features,0QgcOfjSa3CEEL0Bweh4Fp,spotify:track:0QgcOfjSa3CEEL0Bweh4Fp,https://api.spotify.com/v1/tracks/0QgcOfjSa3CEEL0Bweh4Fp,https://api.spotify.com/v1/audio-analysis/0QgcOfjSa3CEEL0Bweh4Fp,271787,4
