name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Remember Summer Days,0.634,0.665,4,-4.969,1,0.0318,0.342,8.87e-05,0.0709,0.787,96.698,audio_features,1qUo7d5lAOclNVbTUY0A2R,spotify:track:1qUo7d5lAOclNVbTUY0A2R,https://api.spotify.com/v1/tracks/1qUo7d5lAOclNVbTUY0A2R,https://api.spotify.com/v1/audio-analysis/1qUo7d5lAOclNVbTUY0A2R,295667,4
Last Summer Whisper,0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,audio_features,38LUbz74v3nmP8x0efElw2,spotify:track:38LUbz74v3nmP8x0efElw2,https://api.spotify.com/v1/tracks/38LUbz74v3nmP8x0efElw2,https://api.spotify.com/v1/audio-analysis/38LUbz74v3nmP8x0efElw2,299680,4
悲しみがとまらない I CAN'T STOP THE LONELINESS,0.684,0.843,9,-4.256,1,0.0296,0.183,1.67e-05,0.0635,0.885,132.027,audio_features,3FYDqY5BRtx3IVSaiQZSze,spotify:track:3FYDqY5BRtx3IVSaiQZSze,https://api.spotify.com/v1/tracks/3FYDqY5BRtx3IVSaiQZSze,https://api.spotify.com/v1/audio-analysis/3FYDqY5BRtx3IVSaiQZSze,263707,4
オリビアを聴きながら,0.453,0.486,7,-7.934,1,0.0261,0.733,1.81e-06,0.157,0.116,141.31,audio_features,1EtGuTEIAqZkBIjzY3MWCf,spotify:track:1EtGuTEIAqZkBIjzY3MWCf,https://api.spotify.com/v1/tracks/1EtGuTEIAqZkBIjzY3MWCf,https://api.spotify.com/v1/audio-analysis/1EtGuTEIAqZkBIjzY3MWCf,279253,4
CAT'S EYE,0.619,0.876,8,-10.082,0,0.106,0.448,0,0.231,0.549,144.918,audio_features,7FGbwJMZxCbW6U8aGNBgOm,spotify:track:7FGbwJMZxCbW6U8aGNBgOm,https://api.spotify.com/v1/tracks/7FGbwJMZxCbW6U8aGNBgOm,https://api.spotify.com/v1/audio-analysis/7FGbwJMZxCbW6U8aGNBgOm,202440,4
SHYNESS BOY,0.765,0.777,1,-5.301,0,0.0306,0.142,0.000122,0.104,0.87,119.935,audio_features,7KYzARBusZhyZ6jygZDmVr,spotify:track:7KYzARBusZhyZ6jygZDmVr,https://api.spotify.com/v1/tracks/7KYzARBusZhyZ6jygZDmVr,https://api.spotify.com/v1/audio-analysis/7KYzARBusZhyZ6jygZDmVr,196667,3
悲しみがとまらない I CAN'T STOP THE LONELINESS,0.719,0.564,9,-13.093,1,0.0287,0.228,6.56e-05,0.0639,0.911,131.886,audio_features,5Jgj79zNUShlvgnq14G067,spotify:track:5Jgj79zNUShlvgnq14G067,https://api.spotify.com/v1/tracks/5Jgj79zNUShlvgnq14G067,https://api.spotify.com/v1/audio-analysis/5Jgj79zNUShlvgnq14G067,267000,4
WINDY SUMMER,0.653,0.762,2,-5.042,1,0.0311,0.175,0.00113,0.174,0.838,106.951,audio_features,7fgmo2cHGzWLexkRhBeECj,spotify:track:7fgmo2cHGzWLexkRhBeECj,https://api.spotify.com/v1/tracks/7fgmo2cHGzWLexkRhBeECj,https://api.spotify.com/v1/audio-analysis/7fgmo2cHGzWLexkRhBeECj,246693,4
YOU ARE NOT ALONE,0.453,0.494,7,-8.202,1,0.0404,0.33,0.000274,0.0733,0.268,146.94,audio_features,04UkpDlydUdqFvgpzMmpQX,spotify:track:04UkpDlydUdqFvgpzMmpQX,https://api.spotify.com/v1/tracks/04UkpDlydUdqFvgpzMmpQX,https://api.spotify.com/v1/audio-analysis/04UkpDlydUdqFvgpzMmpQX,249267,4
Good Bye Boogie Dance,0.775,0.842,1,-5.126,0,0.033,0.113,0.00767,0.0598,0.961,122.788,audio_features,5LZja1KAke25BqjsidAcsq,spotify:track:5LZja1KAke25BqjsidAcsq,https://api.spotify.com/v1/tracks/5LZja1KAke25BqjsidAcsq,https://api.spotify.com/v1/audio-analysis/5LZja1KAke25BqjsidAcsq,272093,4
悲しみがとまらない I CAN'T STOP THE LONELINESS,0.713,0.771,9,-6.61,1,0.0284,0.172,7.5e-05,0.0702,0.884,132.239,audio_features,1ySie7JbMWRnq6b9lGTBLs,spotify:track:1ySie7JbMWRnq6b9lGTBLs,https://api.spotify.com/v1/tracks/1ySie7JbMWRnq6b9lGTBLs,https://api.spotify.com/v1/audio-analysis/1ySie7JbMWRnq6b9lGTBLs,265093,4
SURPRISE OF SUMMER,0.659,0.854,2,-4.499,1,0.0511,0.138,0.00857,0.0434,0.849,119.957,audio_features,3uYCbGo0mc5p7volIb5k2N,spotify:track:3uYCbGo0mc5p7volIb5k2N,https://api.spotify.com/v1/tracks/3uYCbGo0mc5p7volIb5k2N,https://api.spotify.com/v1/audio-analysis/3uYCbGo0mc5p7volIb5k2N,253787,4
MERCURY LAMP 水銀燈,0.614,0.574,7,-7.081,1,0.034,0.334,0.000231,0.0544,0.442,138.589,audio_features,2MUAVo9OrhoFK4A4gJKK2n,spotify:track:2MUAVo9OrhoFK4A4gJKK2n,https://api.spotify.com/v1/tracks/2MUAVo9OrhoFK4A4gJKK2n,https://api.spotify.com/v1/audio-analysis/2MUAVo9OrhoFK4A4gJKK2n,341067,4
DRIVING MY LOVE,0.75,0.853,11,-4.624,0,0.0413,0.199,3.49e-05,0.161,0.899,121.459,audio_features,20JcU4ZiYAuKE4oIal8WoV,spotify:track:20JcU4ZiYAuKE4oIal8WoV,https://api.spotify.com/v1/tracks/20JcU4ZiYAuKE4oIal8WoV,https://api.spotify.com/v1/audio-analysis/20JcU4ZiYAuKE4oIal8WoV,291427,4
CAT'S EYE - (NEW TAKE),0.735,0.877,9,-3.987,0,0.0856,0.2,0.00244,0.139,0.862,135.155,audio_features,6igMq65qc3o0CUhSoHf9yD,spotify:track:6igMq65qc3o0CUhSoHf9yD,https://api.spotify.com/v1/tracks/6igMq65qc3o0CUhSoHf9yD,https://api.spotify.com/v1/audio-analysis/6igMq65qc3o0CUhSoHf9yD,189307,4
STAY BY ME,0.689,0.835,11,-5.636,0,0.0333,0.237,0.00018,0.408,0.866,93.845,audio_features,3WxATUIaUWiMkcpil3OQYS,spotify:track:3WxATUIaUWiMkcpil3OQYS,https://api.spotify.com/v1/tracks/3WxATUIaUWiMkcpil3OQYS,https://api.spotify.com/v1/audio-analysis/3WxATUIaUWiMkcpil3OQYS,217360,4
Fly By Day,0.712,0.746,7,-6.44,1,0.0418,0.368,0.00016,0.336,0.897,100.829,audio_features,3L6NvwR3frgwTZth9z6ZQq,spotify:track:3L6NvwR3frgwTZth9z6ZQq,https://api.spotify.com/v1/tracks/3L6NvwR3frgwTZth9z6ZQq,https://api.spotify.com/v1/audio-analysis/3L6NvwR3frgwTZth9z6ZQq,273867,4
Lady Sunshine,0.735,0.906,2,-5.118,1,0.0319,0.122,0.00109,0.23,0.882,126.248,audio_features,1x33hYJerbtoNgUSd5PEzN,spotify:track:1x33hYJerbtoNgUSd5PEzN,https://api.spotify.com/v1/tracks/1x33hYJerbtoNgUSd5PEzN,https://api.spotify.com/v1/audio-analysis/1x33hYJerbtoNgUSd5PEzN,222133,4
A HOPE FROM SAD STREET,0.532,0.615,0,-4.47,1,0.0353,0.316,2.1e-06,0.382,0.729,178.356,audio_features,3tw8SqjA9KRnseY71gsonf,spotify:track:3tw8SqjA9KRnseY71gsonf,https://api.spotify.com/v1/tracks/3tw8SqjA9KRnseY71gsonf,https://api.spotify.com/v1/audio-analysis/3tw8SqjA9KRnseY71gsonf,259307,4
GOOD-NIGHT FOR YOU,0.604,0.52,2,-7.265,1,0.0317,0.348,8.62e-06,0.135,0.409,135.417,audio_features,1ChwUGkcwllzdl9z2a8siD,spotify:track:1ChwUGkcwllzdl9z2a8siD,https://api.spotify.com/v1/tracks/1ChwUGkcwllzdl9z2a8siD,https://api.spotify.com/v1/audio-analysis/1ChwUGkcwllzdl9z2a8siD,320640,4
LOST LOVE IN THE RAIN,0.627,0.671,0,-6.341,1,0.0244,0.0845,0.00502,0.193,0.432,98.928,audio_features,6poI0pSGdOiYAskWgAZcLo,spotify:track:6poI0pSGdOiYAskWgAZcLo,https://api.spotify.com/v1/tracks/6poI0pSGdOiYAskWgAZcLo,https://api.spotify.com/v1/audio-analysis/6poI0pSGdOiYAskWgAZcLo,259067,4
YOU ARE NOT ALONE,0.463,0.522,7,-6.559,1,0.0426,0.497,7.43e-05,0.0786,0.252,147.733,audio_features,10fjI0KU4wCPsM2uU0GkO4,spotify:track:10fjI0KU4wCPsM2uU0GkO4,https://api.spotify.com/v1/tracks/10fjI0KU4wCPsM2uU0GkO4,https://api.spotify.com/v1/audio-analysis/10fjI0KU4wCPsM2uU0GkO4,243427,4
