name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Emotions,0.307,0.969,7,-1.457,1,0.123,1.21e-05,2.34e-06,0.347,0.424,200.006,audio_features,4NwBpZ1bR7ltHJbxK20g8E,spotify:track:4NwBpZ1bR7ltHJbxK20g8E,https://api.spotify.com/v1/tracks/4NwBpZ1bR7ltHJbxK20g8E,https://api.spotify.com/v1/audio-analysis/4NwBpZ1bR7ltHJbxK20g8E,204892,4
Riot,0.486,0.954,4,-2.765,1,0.194,0.000373,6.33e-06,0.417,0.559,146.798,audio_features,223nvf6U6stGS3nkA72KQ3,spotify:track:223nvf6U6stGS3nkA72KQ3,https://api.spotify.com/v1/tracks/223nvf6U6stGS3nkA72KQ3,https://api.spotify.com/v1/audio-analysis/223nvf6U6stGS3nkA72KQ3,170533,4
Farley,0.407,0.98,4,-0.899,0,0.144,1.09e-05,8.55e-05,0.33,0.497,160.15,audio_features,0dB07HuKQLWljnWFXkGAyM,spotify:track:0dB07HuKQLWljnWFXkGAyM,https://api.spotify.com/v1/tracks/0dB07HuKQLWljnWFXkGAyM,https://api.spotify.com/v1/audio-analysis/0dB07HuKQLWljnWFXkGAyM,178240,4
Hurdle Race,0.354,0.972,4,-2.135,1,0.102,3.39e-05,0.000128,0.598,0.263,105.079,audio_features,2vVdCWpMMJGoLXoDTiVSOd,spotify:track:2vVdCWpMMJGoLXoDTiVSOd,https://api.spotify.com/v1/tracks/2vVdCWpMMJGoLXoDTiVSOd,https://api.spotify.com/v1/audio-analysis/2vVdCWpMMJGoLXoDTiVSOd,155467,4
Jupiter,0.159,0.965,4,-1.713,1,0.069,4.42e-05,1.33e-05,0.364,0.355,199.719,audio_features,2R4IXQQ3DoWosEB2BrtdxF,spotify:track:2R4IXQQ3DoWosEB2BrtdxF,https://api.spotify.com/v1/tracks/2R4IXQQ3DoWosEB2BrtdxF,https://api.spotify.com/v1/audio-analysis/2R4IXQQ3DoWosEB2BrtdxF,200013,4
Unnamed Song,0.469,0.951,7,-2.519,1,0.117,0.000365,0,0.0677,0.234,109.668,audio_features,5s3xUpfN1lUCohkwVSMFi5,spotify:track:5s3xUpfN1lUCohkwVSMFi5,https://api.spotify.com/v1/tracks/5s3xUpfN1lUCohkwVSMFi5,https://api.spotify.com/v1/audio-analysis/5s3xUpfN1lUCohkwVSMFi5,178132,4
Unnamed Song,0.469,0.951,7,-2.519,1,0.117,0.000365,0,0.0677,0.234,109.668,audio_features,5jf15rbmGjj6E8k7EJMTV6,spotify:track:5jf15rbmGjj6E8k7EJMTV6,https://api.spotify.com/v1/tracks/5jf15rbmGjj6E8k7EJMTV6,https://api.spotify.com/v1/audio-analysis/5jf15rbmGjj6E8k7EJMTV6,178132,4
Strawberry,0.639,0.444,9,-6.722,1,0.0407,0.772,0,0.0761,0.0766,120.003,audio_features,4jiu5xxduBT6w0qYmCPXg9,spotify:track:4jiu5xxduBT6w0qYmCPXg9,https://api.spotify.com/v1/tracks/4jiu5xxduBT6w0qYmCPXg9,https://api.spotify.com/v1/audio-analysis/4jiu5xxduBT6w0qYmCPXg9,100506,4
Chocoholic,0.438,0.836,11,-1.508,0,0.0946,0.00103,0,0.0983,0.762,172.0,audio_features,3I6f21UDIGN9L9W28TTHdC,spotify:track:3I6f21UDIGN9L9W28TTHdC,https://api.spotify.com/v1/tracks/3I6f21UDIGN9L9W28TTHdC,https://api.spotify.com/v1/audio-analysis/3I6f21UDIGN9L9W28TTHdC,131546,4
Hole,0.605,0.884,9,-2.022,0,0.0862,0.000314,0,0.29,0.634,106.057,audio_features,4XBbRo3OWw1FnL0wkmlGGX,spotify:track:4XBbRo3OWw1FnL0wkmlGGX,https://api.spotify.com/v1/tracks/4XBbRo3OWw1FnL0wkmlGGX,https://api.spotify.com/v1/audio-analysis/4XBbRo3OWw1FnL0wkmlGGX,178572,4
