name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
想いきり,0.466,0.897,9,-2.989,1,0.0403,0.000206,0.253,0.351,0.802,159.988,audio_features,722KsbM8nAmtP9quY41MO1,spotify:track:722KsbM8nAmtP9quY41MO1,https://api.spotify.com/v1/tracks/722KsbM8nAmtP9quY41MO1,https://api.spotify.com/v1/audio-analysis/722KsbM8nAmtP9quY41MO1,197040,4
ラブ (feat. pH-1),0.68,0.944,0,-2.603,1,0.0615,0.025,1.43e-06,0.112,0.789,125.987,audio_features,0A1yFx07FIenKVyNhpQEPN,spotify:track:0A1yFx07FIenKVyNhpQEPN,https://api.spotify.com/v1/tracks/0A1yFx07FIenKVyNhpQEPN,https://api.spotify.com/v1/audio-analysis/0A1yFx07FIenKVyNhpQEPN,170000,4
花傘,0.681,0.822,5,-4.467,0,0.0355,0.0788,0,0.367,0.561,125.887,audio_features,1S3g3KUg0jF0r8U46cxzTM,spotify:track:1S3g3KUg0jF0r8U46cxzTM,https://api.spotify.com/v1/tracks/1S3g3KUg0jF0r8U46cxzTM,https://api.spotify.com/v1/audio-analysis/1S3g3KUg0jF0r8U46cxzTM,280552,4
邦画,0.705,0.831,1,-3.982,0,0.0311,0.193,6.81e-05,0.203,0.78,93.974,audio_features,4zfsk7inEPq0PawGyU6oHi,spotify:track:4zfsk7inEPq0PawGyU6oHi,https://api.spotify.com/v1/tracks/4zfsk7inEPq0PawGyU6oHi,https://api.spotify.com/v1/audio-analysis/4zfsk7inEPq0PawGyU6oHi,197450,4
楽園,0.49,0.749,6,-5.382,1,0.0396,0.000871,0.217,0.0953,0.614,148.048,audio_features,5HLDSbkgaCFn5RIdlaVV42,spotify:track:5HLDSbkgaCFn5RIdlaVV42,https://api.spotify.com/v1/tracks/5HLDSbkgaCFn5RIdlaVV42,https://api.spotify.com/v1/audio-analysis/5HLDSbkgaCFn5RIdlaVV42,292480,4
夏夜のマジック,0.465,0.818,2,-3.855,0,0.0385,0.222,0,0.216,0.669,80.024,audio_features,144pIQC3mpmUkZXMt8fIwb,spotify:track:144pIQC3mpmUkZXMt8fIwb,https://api.spotify.com/v1/tracks/144pIQC3mpmUkZXMt8fIwb,https://api.spotify.com/v1/audio-analysis/144pIQC3mpmUkZXMt8fIwb,305640,4
夕恋,0.533,0.358,0,-7.422,1,0.0251,0.712,0,0.125,0.255,145.863,audio_features,2tV4NIccyNFyvqfdOz90L9,spotify:track:2tV4NIccyNFyvqfdOz90L9,https://api.spotify.com/v1/tracks/2tV4NIccyNFyvqfdOz90L9,https://api.spotify.com/v1/audio-analysis/2tV4NIccyNFyvqfdOz90L9,196580,4
通り恋,0.534,0.654,0,-3.971,1,0.0277,0.0195,0.00137,0.239,0.364,80.126,audio_features,72lrebaqFNOZt8GMS32gvZ,spotify:track:72lrebaqFNOZt8GMS32gvZ,https://api.spotify.com/v1/tracks/72lrebaqFNOZt8GMS32gvZ,https://api.spotify.com/v1/audio-analysis/72lrebaqFNOZt8GMS32gvZ,235449,4
春は溶けて,0.65,0.829,11,-4.447,0,0.0511,0.194,0,0.35,0.634,125.996,audio_features,391NzELM5jOnG6bte67GpB,spotify:track:391NzELM5jOnG6bte67GpB,https://api.spotify.com/v1/tracks/391NzELM5jOnG6bte67GpB,https://api.spotify.com/v1/audio-analysis/391NzELM5jOnG6bte67GpB,276930,4
見せかけのラブソング,0.724,0.834,2,-5.741,0,0.0283,0.0179,0.0015,0.115,0.782,129.014,audio_features,5fHbYj95jdSsb0wQ6QntIJ,spotify:track:5fHbYj95jdSsb0wQ6QntIJ,https://api.spotify.com/v1/tracks/5fHbYj95jdSsb0wQ6QntIJ,https://api.spotify.com/v1/audio-analysis/5fHbYj95jdSsb0wQ6QntIJ,256187,4
夜行,0.731,0.744,2,-4.439,0,0.0323,0.00334,0.000106,0.0492,0.678,116.982,audio_features,423g0qldElg2Ge2UwLyCjt,spotify:track:423g0qldElg2Ge2UwLyCjt,https://api.spotify.com/v1/tracks/423g0qldElg2Ge2UwLyCjt,https://api.spotify.com/v1/audio-analysis/423g0qldElg2Ge2UwLyCjt,231101,4
夜の恋は,0.63,0.717,5,-4.934,1,0.0406,0.0768,6.31e-06,0.156,0.737,82.013,audio_features,6ro08ceTgI7r7fC7VEQNUx,spotify:track:6ro08ceTgI7r7fC7VEQNUx,https://api.spotify.com/v1/tracks/6ro08ceTgI7r7fC7VEQNUx,https://api.spotify.com/v1/audio-analysis/6ro08ceTgI7r7fC7VEQNUx,231693,4
