name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Kyo no Uta,0.617,0.846,2,-2.993,1,0.041,0.0234,1.83e-05,0.359,0.735,133.011,audio_features,1Z75pzAIs06dHzwINKQ2co,spotify:track:1Z75pzAIs06dHzwINKQ2co,https://api.spotify.com/v1/tracks/1Z75pzAIs06dHzwINKQ2co,https://api.spotify.com/v1/audio-analysis/1Z75pzAIs06dHzwINKQ2co,234233,4
Game Over,0.515,0.741,9,-4.796,1,0.0323,0.000722,0.0122,0.0782,0.532,151.948,audio_features,3RTPhsEAhEOTcw4y7cAnbC,spotify:track:3RTPhsEAhEOTcw4y7cAnbC,https://api.spotify.com/v1/tracks/3RTPhsEAhEOTcw4y7cAnbC,https://api.spotify.com/v1/audio-analysis/3RTPhsEAhEOTcw4y7cAnbC,200000,4
Hirari to Perky,0.496,0.694,4,-2.513,0,0.0455,0.000415,0,0.319,0.619,134.862,audio_features,4tDLZJvw6PQowhjkUhdbs1,spotify:track:4tDLZJvw6PQowhjkUhdbs1,https://api.spotify.com/v1/tracks/4tDLZJvw6PQowhjkUhdbs1,https://api.spotify.com/v1/audio-analysis/4tDLZJvw6PQowhjkUhdbs1,243467,4
もしも,0.634,0.788,4,-2.713,1,0.0428,0.000523,1.53e-05,0.0875,0.635,128.003,audio_features,5cjKmn5cq6q84VlQvi096t,spotify:track:5cjKmn5cq6q84VlQvi096t,https://api.spotify.com/v1/tracks/5cjKmn5cq6q84VlQvi096t,https://api.spotify.com/v1/audio-analysis/5cjKmn5cq6q84VlQvi096t,341133,4
はしる、夜,0.385,0.942,2,-1.764,1,0.109,0.00073,1.37e-05,0.324,0.52,175.066,audio_features,4l6XqHTQSK3Ll1lbKPx3AD,spotify:track:4l6XqHTQSK3Ll1lbKPx3AD,https://api.spotify.com/v1/tracks/4l6XqHTQSK3Ll1lbKPx3AD,https://api.spotify.com/v1/audio-analysis/4l6XqHTQSK3Ll1lbKPx3AD,183667,4
Mada,0.485,0.797,7,-2.672,1,0.0354,0.000266,0.00906,0.312,0.503,125.97,audio_features,1AHffViKHU1XceN5avFAr0,spotify:track:1AHffViKHU1XceN5avFAr0,https://api.spotify.com/v1/tracks/1AHffViKHU1XceN5avFAr0,https://api.spotify.com/v1/audio-analysis/1AHffViKHU1XceN5avFAr0,89400,4
NO NAME,0.5,0.8,7,-1.246,1,0.0459,0.000607,4.11e-06,0.308,0.69,119.972,audio_features,25a82wOZYbO1VIy1GOpkqx,spotify:track:25a82wOZYbO1VIy1GOpkqx,https://api.spotify.com/v1/tracks/25a82wOZYbO1VIy1GOpkqx,https://api.spotify.com/v1/audio-analysis/25a82wOZYbO1VIy1GOpkqx,200733,4
Kimi ga Watashi o,0.237,0.912,7,-1.761,1,0.0545,0.000621,0.114,0.31,0.541,176.281,audio_features,1cz1kRJdEyjliA0FTxgB3C,spotify:track:1cz1kRJdEyjliA0FTxgB3C,https://api.spotify.com/v1/tracks/1cz1kRJdEyjliA0FTxgB3C,https://api.spotify.com/v1/audio-analysis/1cz1kRJdEyjliA0FTxgB3C,132600,4
ユースオブトゥエンティ,0.479,0.897,5,-1.628,1,0.0527,0.000133,5.35e-06,0.184,0.588,150.003,audio_features,0Ad2EMXf5UPkWmbnEk6sSw,spotify:track:0Ad2EMXf5UPkWmbnEk6sSw,https://api.spotify.com/v1/tracks/0Ad2EMXf5UPkWmbnEk6sSw,https://api.spotify.com/v1/audio-analysis/0Ad2EMXf5UPkWmbnEk6sSw,172867,4
Kankei no Nai Hito,0.651,0.731,7,-3.064,1,0.0403,0.0322,0.00632,0.116,0.819,135.967,audio_features,3e5ZjZwqRFdkVemmAPURu9,spotify:track:3e5ZjZwqRFdkVemmAPURu9,https://api.spotify.com/v1/tracks/3e5ZjZwqRFdkVemmAPURu9,https://api.spotify.com/v1/audio-analysis/3e5ZjZwqRFdkVemmAPURu9,213467,4
