name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
chAngE,0.442,0.973,7,-2.01,1,0.156,0.0268,0,0.108,0.635,164.852,audio_features,7McCOOQG8GQtngK2Obh0Ts,spotify:track:7McCOOQG8GQtngK2Obh0Ts,https://api.spotify.com/v1/tracks/7McCOOQG8GQtngK2Obh0Ts,https://api.spotify.com/v1/audio-analysis/7McCOOQG8GQtngK2Obh0Ts,249747,4
アップデート,0.488,0.949,1,-2.378,1,0.067,0.0157,1.66e-05,0.13,0.65,170.069,audio_features,53XiMm0e6FRh6dUbezX53A,spotify:track:53XiMm0e6FRh6dUbezX53A,https://api.spotify.com/v1/tracks/53XiMm0e6FRh6dUbezX53A,https://api.spotify.com/v1/audio-analysis/53XiMm0e6FRh6dUbezX53A,259467,4
chAngE,0.441,0.969,7,-1.852,1,0.139,0.0245,0,0.0957,0.634,164.868,audio_features,4dW80zBgl9BfWxi5upKgt1,spotify:track:4dW80zBgl9BfWxi5upKgt1,https://api.spotify.com/v1/tracks/4dW80zBgl9BfWxi5upKgt1,https://api.spotify.com/v1/audio-analysis/4dW80zBgl9BfWxi5upKgt1,249707,4
ヒカリヘ,0.565,0.902,7,-2.556,1,0.0316,0.325,2.94e-05,0.505,0.372,132.018,audio_features,6Ko5MADnkgh7GZJfieBnln,spotify:track:6Ko5MADnkgh7GZJfieBnln,https://api.spotify.com/v1/tracks/6Ko5MADnkgh7GZJfieBnln,https://api.spotify.com/v1/audio-analysis/6Ko5MADnkgh7GZJfieBnln,292307,4
夜空。,0.263,0.667,7,-6.451,0,0.0476,0.757,0,0.654,0.25,83.42,audio_features,25tazZGq5Z6wodjgr34i2X,spotify:track:25tazZGq5Z6wodjgr34i2X,https://api.spotify.com/v1/tracks/25tazZGq5Z6wodjgr34i2X,https://api.spotify.com/v1/audio-analysis/25tazZGq5Z6wodjgr34i2X,310493,4
ミラクル,0.547,0.863,4,-2.572,0,0.0334,0.0664,0,0.183,0.727,144.995,audio_features,0WWhdc9npUQ9BCAAnUOCDz,spotify:track:0WWhdc9npUQ9BCAAnUOCDz,https://api.spotify.com/v1/tracks/0WWhdc9npUQ9BCAAnUOCDz,https://api.spotify.com/v1/audio-analysis/0WWhdc9npUQ9BCAAnUOCDz,280213,4
ティーンエイジドリーム,0.498,0.85,11,-2.264,1,0.0861,0.00451,0.004,0.175,0.598,152.073,audio_features,1NGSNidNQNKvOQMxfYRrFI,spotify:track:1NGSNidNQNKvOQMxfYRrFI,https://api.spotify.com/v1/tracks/1NGSNidNQNKvOQMxfYRrFI,https://api.spotify.com/v1/audio-analysis/1NGSNidNQNKvOQMxfYRrFI,234933,4
ティーンエイジドリーム,0.407,0.901,11,-1.005,1,0.087,0.00593,8.48e-05,0.168,0.596,152.114,audio_features,59rNAE3QDp7bGcmkwDBGzo,spotify:track:59rNAE3QDp7bGcmkwDBGzo,https://api.spotify.com/v1/tracks/59rNAE3QDp7bGcmkwDBGzo,https://api.spotify.com/v1/audio-analysis/59rNAE3QDp7bGcmkwDBGzo,234324,4
ヒカリヘ - From THE FIRST TAKE,0.477,0.374,7,-6.897,1,0.0403,0.824,0,0.103,0.277,123.41,audio_features,1aaFrlLBFCbL4kw9RKAx2t,spotify:track:1aaFrlLBFCbL4kw9RKAx2t,https://api.spotify.com/v1/tracks/1aaFrlLBFCbL4kw9RKAx2t,https://api.spotify.com/v1/audio-analysis/1aaFrlLBFCbL4kw9RKAx2t,319636,4
don't cry anymore,0.577,0.67,5,-4.712,1,0.0293,0.0561,0,0.218,0.412,110.044,audio_features,0vEShuopprEhurzTPVQzbW,spotify:track:0vEShuopprEhurzTPVQzbW,https://api.spotify.com/v1/tracks/0vEShuopprEhurzTPVQzbW,https://api.spotify.com/v1/audio-analysis/0vEShuopprEhurzTPVQzbW,281773,4
アイオクリ,0.452,0.679,9,-3.72,1,0.0338,0.17,0,0.129,0.332,82.635,audio_features,20ceBXXsEZM8cPLBy8VRlU,spotify:track:20ceBXXsEZM8cPLBy8VRlU,https://api.spotify.com/v1/tracks/20ceBXXsEZM8cPLBy8VRlU,https://api.spotify.com/v1/audio-analysis/20ceBXXsEZM8cPLBy8VRlU,242933,4
片想い,0.452,0.492,6,-6.163,1,0.0287,0.412,0,0.265,0.427,149.73,audio_features,3RVqeKYJUDuy0zU0CrqUmG,spotify:track:3RVqeKYJUDuy0zU0CrqUmG,https://api.spotify.com/v1/tracks/3RVqeKYJUDuy0zU0CrqUmG,https://api.spotify.com/v1/audio-analysis/3RVqeKYJUDuy0zU0CrqUmG,348667,4
シャンランラン,0.646,0.89,4,-2.31,1,0.0273,0.178,1.48e-06,0.341,0.708,135.011,audio_features,0mfyhRoZc6RkehLWdhYzcZ,spotify:track:0mfyhRoZc6RkehLWdhYzcZ,https://api.spotify.com/v1/tracks/0mfyhRoZc6RkehLWdhYzcZ,https://api.spotify.com/v1/audio-analysis/0mfyhRoZc6RkehLWdhYzcZ,242533,4
Bloom,0.456,0.639,0,-4.957,1,0.0338,0.000521,0,0.126,0.376,114.961,audio_features,6pt9fZEfESI6uluywicYnz,spotify:track:6pt9fZEfESI6uluywicYnz,https://api.spotify.com/v1/tracks/6pt9fZEfESI6uluywicYnz,https://api.spotify.com/v1/audio-analysis/6pt9fZEfESI6uluywicYnz,184900,4
