name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
abnormalize,0.373,0.897,10,-4.052,1,0.0702,7.51e-06,0.151,0.0676,0.369,87.477,audio_features,00nmZvZRyzQiYe2tAcDDUb,spotify:track:00nmZvZRyzQiYe2tAcDDUb,https://api.spotify.com/v1/tracks/00nmZvZRyzQiYe2tAcDDUb,https://api.spotify.com/v1/audio-analysis/00nmZvZRyzQiYe2tAcDDUb,216667,4
Enigmatic Feeling,0.464,0.976,10,-2.872,0,0.138,0.000125,1.12e-06,0.31,0.328,142.136,audio_features,0YHTrd78qCsMhzmgBHiZ28,spotify:track:0YHTrd78qCsMhzmgBHiZ28,https://api.spotify.com/v1/tracks/0YHTrd78qCsMhzmgBHiZ28,https://api.spotify.com/v1/audio-analysis/0YHTrd78qCsMhzmgBHiZ28,234400,4
am 3:45,0.315,0.611,10,-6.07,0,0.05,0.421,0.29,0.117,0.148,146.476,audio_features,1P1mhYegu7cnXphz3QQZdB,spotify:track:1P1mhYegu7cnXphz3QQZdB,https://api.spotify.com/v1/tracks/1P1mhYegu7cnXphz3QQZdB,https://api.spotify.com/v1/audio-analysis/1P1mhYegu7cnXphz3QQZdB,392333,4
Marvelous Persona,0.255,0.924,5,-4.431,0,0.0995,9.4e-06,0.365,0.058,0.255,150.079,audio_features,2rDzzZW7FS8xixmu0O6Ohh,spotify:track:2rDzzZW7FS8xixmu0O6Ohh,https://api.spotify.com/v1/tracks/2rDzzZW7FS8xixmu0O6Ohh,https://api.spotify.com/v1/audio-analysis/2rDzzZW7FS8xixmu0O6Ohh,255809,4
abnormalize,0.382,0.923,10,-3.622,1,0.0749,9.59e-06,0.116,0.0519,0.309,87.464,audio_features,0hq67MalArjFtevHkSwsLR,spotify:track:0hq67MalArjFtevHkSwsLR,https://api.spotify.com/v1/tracks/0hq67MalArjFtevHkSwsLR,https://api.spotify.com/v1/audio-analysis/0hq67MalArjFtevHkSwsLR,217987,4
Abnormalize,0.382,0.924,10,-3.622,1,0.0752,9.59e-06,0.117,0.0519,0.31,87.465,audio_features,5CYBINcDNocRx3EoCROsA6,spotify:track:5CYBINcDNocRx3EoCROsA6,https://api.spotify.com/v1/tracks/5CYBINcDNocRx3EoCROsA6,https://api.spotify.com/v1/audio-analysis/5CYBINcDNocRx3EoCROsA6,217987,4
竜巻いて鮮脳,0.38,0.98,1,-2.566,1,0.154,4.17e-06,0.000441,0.261,0.325,143.888,audio_features,53ygKATZIiOKS9DWMKdNwH,spotify:track:53ygKATZIiOKS9DWMKdNwH,https://api.spotify.com/v1/tracks/53ygKATZIiOKS9DWMKdNwH,https://api.spotify.com/v1/audio-analysis/53ygKATZIiOKS9DWMKdNwH,224399,4
Who What Who What,0.42,0.967,0,-2.057,0,0.101,0.000135,1.16e-06,0.342,0.361,150.069,audio_features,0FLvllAtJg4ut2u0OiEg4m,spotify:track:0FLvllAtJg4ut2u0OiEg4m,https://api.spotify.com/v1/tracks/0FLvllAtJg4ut2u0OiEg4m,https://api.spotify.com/v1/audio-analysis/0FLvllAtJg4ut2u0OiEg4m,222000,4
a 7days wonder,0.441,0.714,8,-6.084,0,0.0529,0.000169,0.235,0.316,0.502,134.979,audio_features,7Gmv64gt8WG8bxoOA9pdJx,spotify:track:7Gmv64gt8WG8bxoOA9pdJx,https://api.spotify.com/v1/tracks/7Gmv64gt8WG8bxoOA9pdJx,https://api.spotify.com/v1/audio-analysis/7Gmv64gt8WG8bxoOA9pdJx,279507,4
Metamorphose,0.232,0.874,0,-3.421,0,0.048,4.45e-06,0.813,0.0895,0.353,94.787,audio_features,2CJNmdY10MxhvM3bKnxEgH,spotify:track:2CJNmdY10MxhvM3bKnxEgH,https://api.spotify.com/v1/tracks/2CJNmdY10MxhvM3bKnxEgH,https://api.spotify.com/v1/audio-analysis/2CJNmdY10MxhvM3bKnxEgH,206987,4
Sitai miss me,0.427,0.913,10,-3.269,0,0.0952,5.59e-05,0.00816,0.0838,0.217,95.089,audio_features,5j9sMWKy0OYggdpUQkIuWU,spotify:track:5j9sMWKy0OYggdpUQkIuWU,https://api.spotify.com/v1/tracks/5j9sMWKy0OYggdpUQkIuWU,https://api.spotify.com/v1/audio-analysis/5j9sMWKy0OYggdpUQkIuWU,240853,4
illusion is mine,0.442,0.744,3,-5.097,0,0.0978,0.00142,0.484,0.378,0.293,140.241,audio_features,3iZmntAKfKaL1WLNEOFqb8,spotify:track:3iZmntAKfKaL1WLNEOFqb8,https://api.spotify.com/v1/tracks/3iZmntAKfKaL1WLNEOFqb8,https://api.spotify.com/v1/audio-analysis/3iZmntAKfKaL1WLNEOFqb8,243773,4
キミトオク,0.247,0.854,8,-4.099,1,0.0491,2.14e-05,0.0803,0.0788,0.44,101.35,audio_features,4gSevaO3MUhpfaGREMUXW4,spotify:track:4gSevaO3MUhpfaGREMUXW4,https://api.spotify.com/v1/tracks/4gSevaO3MUhpfaGREMUXW4,https://api.spotify.com/v1/audio-analysis/4gSevaO3MUhpfaGREMUXW4,294987,3
Beautiful Circus (remastered at METROPOLIS),0.361,0.953,1,-2.868,1,0.151,2.06e-05,0.139,0.0843,0.471,144.944,audio_features,0NjKpXznxW4hPtLRhLugwB,spotify:track:0NjKpXznxW4hPtLRhLugwB,https://api.spotify.com/v1/tracks/0NjKpXznxW4hPtLRhLugwB,https://api.spotify.com/v1/audio-analysis/0NjKpXznxW4hPtLRhLugwB,196667,4
abnormalize - Remixed by 中野雅之(BOOM BOOM SATELLITES),0.392,0.941,2,-4.485,0,0.17,0.00355,2.39e-06,0.252,0.205,160.998,audio_features,5hA334aoIFRcqu23AGRzkP,spotify:track:5hA334aoIFRcqu23AGRzkP,https://api.spotify.com/v1/tracks/5hA334aoIFRcqu23AGRzkP,https://api.spotify.com/v1/audio-analysis/5hA334aoIFRcqu23AGRzkP,195467,4
ハカイヨノユメ,0.289,0.79,0,-3.961,0,0.0726,0.000569,0.0371,0.386,0.171,107.651,audio_features,22x3Kcm7FhEdItqyRZyBYT,spotify:track:22x3Kcm7FhEdItqyRZyBYT,https://api.spotify.com/v1/tracks/22x3Kcm7FhEdItqyRZyBYT,https://api.spotify.com/v1/audio-analysis/22x3Kcm7FhEdItqyRZyBYT,276893,4
JPOP Xfile,0.303,0.881,10,-3.31,0,0.11,0.000115,0.0212,0.469,0.604,91.074,audio_features,08iQOFUm0CXFceOkXFzbyY,spotify:track:08iQOFUm0CXFceOkXFzbyY,https://api.spotify.com/v1/tracks/08iQOFUm0CXFceOkXFzbyY,https://api.spotify.com/v1/audio-analysis/08iQOFUm0CXFceOkXFzbyY,240947,4
Neighbormind,0.347,0.983,3,-3.494,0,0.147,1.67e-05,0.551,0.125,0.216,143.982,audio_features,5LCJsiOReqehNAmb33D4r2,spotify:track:5LCJsiOReqehNAmb33D4r2,https://api.spotify.com/v1/tracks/5LCJsiOReqehNAmb33D4r2,https://api.spotify.com/v1/audio-analysis/5LCJsiOReqehNAmb33D4r2,243067,4
moment A rhythm (short ver. / remastered at METROPOLIS),0.433,0.465,8,-8.478,0,0.0263,0.0082,0.406,0.0876,0.228,79.602,audio_features,6WoCuE0zK8hc5Wfn6jsAWf,spotify:track:6WoCuE0zK8hc5Wfn6jsAWf,https://api.spotify.com/v1/tracks/6WoCuE0zK8hc5Wfn6jsAWf,https://api.spotify.com/v1/audio-analysis/6WoCuE0zK8hc5Wfn6jsAWf,436693,4
Telecastic fake show (remastered at METROPOLIS),0.189,0.965,1,-2.294,1,0.0687,3.12e-05,0.291,0.298,0.327,97.94,audio_features,4XxoVZckeA7oPOzCvA1De5,spotify:track:4XxoVZckeA7oPOzCvA1De5,https://api.spotify.com/v1/tracks/4XxoVZckeA7oPOzCvA1De5,https://api.spotify.com/v1/audio-analysis/4XxoVZckeA7oPOzCvA1De5,269627,4
Missing ling (remastered at METROPOLIS),0.107,0.705,3,-4.124,0,0.0686,0.000146,0.115,0.109,0.301,80.081,audio_features,4zTHFEsROPDTEYlWTQcAXN,spotify:track:4zTHFEsROPDTEYlWTQcAXN,https://api.spotify.com/v1/tracks/4zTHFEsROPDTEYlWTQcAXN,https://api.spotify.com/v1/audio-analysis/4zTHFEsROPDTEYlWTQcAXN,414853,4
nakano kill you,0.199,0.987,8,-0.286,1,0.0866,0.00113,1.81e-06,0.482,0.239,98.444,audio_features,68CchJl7w3uBIygKMguXNW,spotify:track:68CchJl7w3uBIygKMguXNW,https://api.spotify.com/v1/tracks/68CchJl7w3uBIygKMguXNW,https://api.spotify.com/v1/audio-analysis/68CchJl7w3uBIygKMguXNW,189707,4
