name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
よー、そこの若いの,0.602,0.798,7,-5.681,1,0.0341,0.0123,0,0.177,0.669,131.975,audio_features,0ZoHxBd1enqGDSNjqUptmY,spotify:track:0ZoHxBd1enqGDSNjqUptmY,https://api.spotify.com/v1/tracks/0ZoHxBd1enqGDSNjqUptmY,https://api.spotify.com/v1/audio-analysis/0ZoHxBd1enqGDSNjqUptmY,199640,4
Forever Young,0.818,0.351,0,-8.012,1,0.0502,0.632,1.93e-06,0.117,0.7,130.126,audio_features,6LxT2VQ5jSBbeFmZ9rf8Ku,spotify:track:6LxT2VQ5jSBbeFmZ9rf8Ku,https://api.spotify.com/v1/tracks/6LxT2VQ5jSBbeFmZ9rf8Ku,https://api.spotify.com/v1/audio-analysis/6LxT2VQ5jSBbeFmZ9rf8Ku,190747,4
どーん!とやってこい、ダイスケ!,0.569,0.845,0,-3.973,1,0.0372,0.12,0,0.0849,0.863,97.075,audio_features,0gjuBnzf5gqPbXJ5MgkyiR,spotify:track:0gjuBnzf5gqPbXJ5MgkyiR,https://api.spotify.com/v1/tracks/0gjuBnzf5gqPbXJ5MgkyiR,https://api.spotify.com/v1/audio-analysis/0gjuBnzf5gqPbXJ5MgkyiR,158160,4
一等賞,0.659,0.83,5,-4.659,1,0.0445,0.588,0,0.111,0.937,127.014,audio_features,3InBIgygsMQ90Oc2Izt1mg,spotify:track:3InBIgygsMQ90Oc2Izt1mg,https://api.spotify.com/v1/tracks/3InBIgygsMQ90Oc2Izt1mg,https://api.spotify.com/v1/audio-analysis/3InBIgygsMQ90Oc2Izt1mg,133840,4
ただ己が影を真似て,0.607,0.384,9,-11.23,1,0.0408,0.847,7.33e-06,0.114,0.507,125.191,audio_features,5CdxD8fMrMFeJW6sngciR8,spotify:track:5CdxD8fMrMFeJW6sngciR8,https://api.spotify.com/v1/tracks/5CdxD8fMrMFeJW6sngciR8,https://api.spotify.com/v1/audio-analysis/5CdxD8fMrMFeJW6sngciR8,182347,4
隠岐手紙,0.606,0.914,5,-4.428,0,0.0511,0.656,8.24e-06,0.138,0.796,102.028,audio_features,2PFeOxe6InNnvuGBASJH3p,spotify:track:2PFeOxe6InNnvuGBASJH3p,https://api.spotify.com/v1/tracks/2PFeOxe6InNnvuGBASJH3p,https://api.spotify.com/v1/audio-analysis/2PFeOxe6InNnvuGBASJH3p,197933,4
I miss you...,0.466,0.269,8,-9.149,1,0.0416,0.868,0,0.129,0.484,141.901,audio_features,0hAhLUoQsCZeWtu2klmnsJ,spotify:track:0hAhLUoQsCZeWtu2klmnsJ,https://api.spotify.com/v1/tracks/0hAhLUoQsCZeWtu2klmnsJ,https://api.spotify.com/v1/audio-analysis/0hAhLUoQsCZeWtu2klmnsJ,143187,3
みんな~、やってるか!,0.565,0.688,0,-6.053,1,0.124,0.0526,0,0.298,0.924,147.936,audio_features,25wv9t2ae6sLz83qcde7LP,spotify:track:25wv9t2ae6sLz83qcde7LP,https://api.spotify.com/v1/tracks/25wv9t2ae6sLz83qcde7LP,https://api.spotify.com/v1/audio-analysis/25wv9t2ae6sLz83qcde7LP,141200,4
ちぇっく!,0.331,0.929,2,-4.802,1,0.283,0.00188,6.39e-06,0.276,0.765,184.797,audio_features,45NsgiwBeK5Phaqq6yWDSB,spotify:track:45NsgiwBeK5Phaqq6yWDSB,https://api.spotify.com/v1/tracks/45NsgiwBeK5Phaqq6yWDSB,https://api.spotify.com/v1/audio-analysis/45NsgiwBeK5Phaqq6yWDSB,148147,3
ひまわりさくまであとすこし,0.568,0.108,11,-12.531,0,0.0321,0.819,0,0.183,0.528,137.656,audio_features,5qPZmOiy82HvHZa1jBpGTk,spotify:track:5qPZmOiy82HvHZa1jBpGTk,https://api.spotify.com/v1/tracks/5qPZmOiy82HvHZa1jBpGTk,https://api.spotify.com/v1/audio-analysis/5qPZmOiy82HvHZa1jBpGTk,148307,4
