name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ludópata,0.745,0.554,0,-16.729,1,0.0747,0.134,0.233,0.12,0.595,130.12,audio_features,6iuZib38qo4CbRuVelqLyP,spotify:track:6iuZib38qo4CbRuVelqLyP,https://api.spotify.com/v1/tracks/6iuZib38qo4CbRuVelqLyP,https://api.spotify.com/v1/audio-analysis/6iuZib38qo4CbRuVelqLyP,151385,4
La perdida del primer dolor,0.49,0.15,7,-15.992,1,0.0288,0.847,0,0.222,0.721,80.321,audio_features,2K7bZUdP1RMDWC110O9soW,spotify:track:2K7bZUdP1RMDWC110O9soW,https://api.spotify.com/v1/tracks/2K7bZUdP1RMDWC110O9soW,https://api.spotify.com/v1/audio-analysis/2K7bZUdP1RMDWC110O9soW,58500,4
Jackpot,0.801,0.89,9,-11.729,0,0.0896,0.0076,0.0962,0.612,0.507,139.914,audio_features,4maJcc0Mt6rnpi3IuuDSjm,spotify:track:4maJcc0Mt6rnpi3IuuDSjm,https://api.spotify.com/v1/tracks/4maJcc0Mt6rnpi3IuuDSjm,https://api.spotify.com/v1/audio-analysis/4maJcc0Mt6rnpi3IuuDSjm,108857,4
Cumple 12,0.624,0.228,9,-15.424,1,0.039,0.801,0,0.379,0.573,116.557,audio_features,4Vu55YpbxcLVGJezOzKns2,spotify:track:4Vu55YpbxcLVGJezOzKns2,https://api.spotify.com/v1/tracks/4Vu55YpbxcLVGJezOzKns2,https://api.spotify.com/v1/audio-analysis/4Vu55YpbxcLVGJezOzKns2,87065,4
La suerte,0.478,0.376,1,-13.459,1,0.129,0.51,0,0.0997,0.515,102.199,audio_features,2HwFdc9TrE7hyiK1JdIBXz,spotify:track:2HwFdc9TrE7hyiK1JdIBXz,https://api.spotify.com/v1/tracks/2HwFdc9TrE7hyiK1JdIBXz,https://api.spotify.com/v1/audio-analysis/2HwFdc9TrE7hyiK1JdIBXz,71351,4
Hay que seguir,0.551,0.0374,0,-24.882,1,0.0396,0.89,0,0.427,0.395,118.538,audio_features,57OGSK3oqnMhxWAihhNeMx,spotify:track:57OGSK3oqnMhxWAihhNeMx,https://api.spotify.com/v1/tracks/57OGSK3oqnMhxWAihhNeMx,https://api.spotify.com/v1/audio-analysis/57OGSK3oqnMhxWAihhNeMx,75000,4
En el fin del mundo,0.56,0.608,4,-10.793,0,0.106,0.709,0.00439,0.178,0.524,133.203,audio_features,227cgMcPa91iBJV5oVN6Pj,spotify:track:227cgMcPa91iBJV5oVN6Pj,https://api.spotify.com/v1/tracks/227cgMcPa91iBJV5oVN6Pj,https://api.spotify.com/v1/audio-analysis/227cgMcPa91iBJV5oVN6Pj,121500,4
Rasta Alien,0.678,0.304,6,-14.131,0,0.0417,0.922,0.178,0.0986,0.836,106.648,audio_features,2BOnWD0YiN4osi9wZQ09Tu,spotify:track:2BOnWD0YiN4osi9wZQ09Tu,https://api.spotify.com/v1/tracks/2BOnWD0YiN4osi9wZQ09Tu,https://api.spotify.com/v1/audio-analysis/2BOnWD0YiN4osi9wZQ09Tu,199173,4
Yo solo quería,0.499,0.111,7,-22.725,1,0.0609,0.953,0.00106,0.0937,0.621,60.109,audio_features,1GbXV1KUgJ7A1YvPVn3DJ0,spotify:track:1GbXV1KUgJ7A1YvPVn3DJ0,https://api.spotify.com/v1/tracks/1GbXV1KUgJ7A1YvPVn3DJ0,https://api.spotify.com/v1/audio-analysis/1GbXV1KUgJ7A1YvPVn3DJ0,84500,4
Béret d'hiver,0.359,0.147,6,-19.159,1,0.0415,0.911,0.898,0.0846,0.0975,82.615,audio_features,4vfZs6k1pIeTJ1V2LpzSFW,spotify:track:4vfZs6k1pIeTJ1V2LpzSFW,https://api.spotify.com/v1/tracks/4vfZs6k1pIeTJ1V2LpzSFW,https://api.spotify.com/v1/audio-analysis/4vfZs6k1pIeTJ1V2LpzSFW,447427,4
