name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Yotsuya-San Ni Yoroshiku,0.541,0.992,2,-1.8,0,0.138,0.309,0.00041,0.0849,0.212,109.953,audio_features,0ZDpqpiAUsORMiQJxYoAPZ,spotify:track:0ZDpqpiAUsORMiQJxYoAPZ,https://api.spotify.com/v1/tracks/0ZDpqpiAUsORMiQJxYoAPZ,https://api.spotify.com/v1/audio-analysis/0ZDpqpiAUsORMiQJxYoAPZ,175613,4
839,0.346,0.847,9,-7.444,0,0.0489,0.00144,0.0992,0.234,0.38,142.693,audio_features,53nta7dsrEkcuGtfBOF06t,spotify:track:53nta7dsrEkcuGtfBOF06t,https://api.spotify.com/v1/tracks/53nta7dsrEkcuGtfBOF06t,https://api.spotify.com/v1/audio-analysis/53nta7dsrEkcuGtfBOF06t,128277,4
Voices,0.471,0.58,0,-8.612,0,0.201,0.269,0,0.251,0.243,79.964,audio_features,3TD1WqJcmMvfrVhHks3GUj,spotify:track:3TD1WqJcmMvfrVhHks3GUj,https://api.spotify.com/v1/tracks/3TD1WqJcmMvfrVhHks3GUj,https://api.spotify.com/v1/audio-analysis/3TD1WqJcmMvfrVhHks3GUj,144222,4
Yotsuya-san ni Yoroshiku,0.545,0.984,2,-1.852,0,0.119,0.387,0.000104,0.0946,0.19,109.944,audio_features,0RDt7JC6YEEl4BoJOXTUaP,spotify:track:0RDt7JC6YEEl4BoJOXTUaP,https://api.spotify.com/v1/tracks/0RDt7JC6YEEl4BoJOXTUaP,https://api.spotify.com/v1/audio-analysis/0RDt7JC6YEEl4BoJOXTUaP,176720,4
Same Difference,0.706,0.857,1,-7.102,1,0.29,0.00689,1.46e-06,0.0556,0.82,81.011,audio_features,0aGoNV5oGpeTyHsTX7vq3U,spotify:track:0aGoNV5oGpeTyHsTX7vq3U,https://api.spotify.com/v1/tracks/0aGoNV5oGpeTyHsTX7vq3U,https://api.spotify.com/v1/audio-analysis/0aGoNV5oGpeTyHsTX7vq3U,133799,4
Totemo Sutekina Rokugatsu Deshita,0.599,0.947,8,-3.37,1,0.0651,0.0606,0,0.314,0.582,104.98,audio_features,6e9rI7fnQMIjGwQGwmb9Yg,spotify:track:6e9rI7fnQMIjGwQGwmb9Yg,https://api.spotify.com/v1/tracks/6e9rI7fnQMIjGwQGwmb9Yg,https://api.spotify.com/v1/audio-analysis/6e9rI7fnQMIjGwQGwmb9Yg,283427,4
At the End,0.524,0.826,0,-7.168,1,0.0348,0.000765,0.00683,0.738,0.553,120.113,audio_features,2l3GT5Oe1F1stYrkaJYMMK,spotify:track:2l3GT5Oe1F1stYrkaJYMMK,https://api.spotify.com/v1/tracks/2l3GT5Oe1F1stYrkaJYMMK,https://api.spotify.com/v1/audio-analysis/2l3GT5Oe1F1stYrkaJYMMK,236835,4
Insanity,0.462,0.698,11,-9.164,1,0.398,0.619,0,0.134,0.794,80.374,audio_features,0XyXv6k6oLI2afjZ2clkmk,spotify:track:0XyXv6k6oLI2afjZ2clkmk,https://api.spotify.com/v1/tracks/0XyXv6k6oLI2afjZ2clkmk,https://api.spotify.com/v1/audio-analysis/0XyXv6k6oLI2afjZ2clkmk,123402,4
Eight,0.527,0.119,2,-24.241,1,0.0424,0.689,0.954,0.0858,0.236,118.49,audio_features,4UCymzeDyCRogEgfcOQDMt,spotify:track:4UCymzeDyCRogEgfcOQDMt,https://api.spotify.com/v1/tracks/4UCymzeDyCRogEgfcOQDMt,https://api.spotify.com/v1/audio-analysis/4UCymzeDyCRogEgfcOQDMt,39427,3
Psycho,0.557,0.995,9,-1.613,0,0.123,0.0248,0,0.226,0.327,115.022,audio_features,0oRDeeyOZBvSZABKp2Oiuy,spotify:track:0oRDeeyOZBvSZABKp2Oiuy,https://api.spotify.com/v1/tracks/0oRDeeyOZBvSZABKp2Oiuy,https://api.spotify.com/v1/audio-analysis/0oRDeeyOZBvSZABKp2Oiuy,161733,4
