name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mafia,0.72,0.878,1,-4.104,1,0.0358,0.241,1.19e-06,0.755,0.796,91.987,audio_features,0HcT7vpmX7KXbaCMEus16l,spotify:track:0HcT7vpmX7KXbaCMEus16l,https://api.spotify.com/v1/tracks/0HcT7vpmX7KXbaCMEus16l,https://api.spotify.com/v1/audio-analysis/0HcT7vpmX7KXbaCMEus16l,305457,4
It Might Be You,0.848,0.449,7,-8.92,1,0.0366,0.595,6.39e-05,0.165,0.655,88.032,audio_features,5JXiWu9sTkRyOEyC1OQeJM,spotify:track:5JXiWu9sTkRyOEyC1OQeJM,https://api.spotify.com/v1/tracks/5JXiWu9sTkRyOEyC1OQeJM,https://api.spotify.com/v1/audio-analysis/5JXiWu9sTkRyOEyC1OQeJM,260507,4
Criminèl,0.57,0.879,1,-5.11,1,0.0589,0.125,0,0.0885,0.441,174.031,audio_features,5FdW6cGebMPN3L59LtVfDc,spotify:track:5FdW6cGebMPN3L59LtVfDc,https://api.spotify.com/v1/tracks/5FdW6cGebMPN3L59LtVfDc,https://api.spotify.com/v1/audio-analysis/5FdW6cGebMPN3L59LtVfDc,327722,4
Kansè,0.574,0.779,5,-5.911,1,0.0469,0.2,0,0.0821,0.515,171.953,audio_features,7C5D9hWTZmC0OfFFw3zBDx,spotify:track:7C5D9hWTZmC0OfFFw3zBDx,https://api.spotify.com/v1/tracks/7C5D9hWTZmC0OfFFw3zBDx,https://api.spotify.com/v1/audio-analysis/7C5D9hWTZmC0OfFFw3zBDx,329373,4
Malade (feat. Richard Cave),0.596,0.661,1,-7.236,0,0.0333,0.226,0,0.184,0.761,175.973,audio_features,3iLrjLIUl8lCmMK3WUr3VE,spotify:track:3iLrjLIUl8lCmMK3WUr3VE,https://api.spotify.com/v1/tracks/3iLrjLIUl8lCmMK3WUr3VE,https://api.spotify.com/v1/audio-analysis/3iLrjLIUl8lCmMK3WUr3VE,309107,4
Kanse ( Live),0.54,0.653,5,-7.177,1,0.0847,0.129,1.1e-06,0.127,0.359,172.159,audio_features,67kMQHKYJxdWmW64poiwF2,spotify:track:67kMQHKYJxdWmW64poiwF2,https://api.spotify.com/v1/tracks/67kMQHKYJxdWmW64poiwF2,https://api.spotify.com/v1/audio-analysis/67kMQHKYJxdWmW64poiwF2,736351,4
Say You'll Stay,0.615,0.386,7,-10.276,0,0.0337,0.655,0,0.107,0.474,120.89,audio_features,2neMQfiGrFXt2vKgvV8Yid,spotify:track:2neMQfiGrFXt2vKgvV8Yid,https://api.spotify.com/v1/tracks/2neMQfiGrFXt2vKgvV8Yid,https://api.spotify.com/v1/audio-analysis/2neMQfiGrFXt2vKgvV8Yid,211333,4
Say You'll Stay - Jazzy's Bass Mix,0.756,0.779,5,-9.535,0,0.0391,0.0354,1.43e-05,0.136,0.701,130.009,audio_features,5opYeyZW3BGKL1msyXZP8m,spotify:track:5opYeyZW3BGKL1msyXZP8m,https://api.spotify.com/v1/tracks/5opYeyZW3BGKL1msyXZP8m,https://api.spotify.com/v1/audio-analysis/5opYeyZW3BGKL1msyXZP8m,204240,4
Criminel(Live),0.571,0.794,1,-7.104,1,0.0485,0.115,0,0.285,0.572,175.952,audio_features,77fiwoT44k16CMGxGJYM6j,spotify:track:77fiwoT44k16CMGxGJYM6j,https://api.spotify.com/v1/tracks/77fiwoT44k16CMGxGJYM6j,https://api.spotify.com/v1/audio-analysis/77fiwoT44k16CMGxGJYM6j,725763,4
Criminel (Live),0.526,0.88,10,-5.384,0,0.0407,0.367,2.35e-05,0.142,0.652,174.021,audio_features,4UiUIWkXym23pb5WXGTOmY,spotify:track:4UiUIWkXym23pb5WXGTOmY,https://api.spotify.com/v1/tracks/4UiUIWkXym23pb5WXGTOmY,https://api.spotify.com/v1/audio-analysis/4UiUIWkXym23pb5WXGTOmY,645673,4
Cocktail,0.664,0.795,2,-6.267,0,0.042,0.164,0.00425,0.19,0.612,161.975,audio_features,5BFpt04yU0RB0irkCtywWu,spotify:track:5BFpt04yU0RB0irkCtywWu,https://api.spotify.com/v1/tracks/5BFpt04yU0RB0irkCtywWu,https://api.spotify.com/v1/audio-analysis/5BFpt04yU0RB0irkCtywWu,276707,4
Time,0.785,0.586,5,-9.946,0,0.0421,0.12,0,0.288,0.477,130.004,audio_features,3A72ZUtBYoJdqgqobsbnlo,spotify:track:3A72ZUtBYoJdqgqobsbnlo,https://api.spotify.com/v1/tracks/3A72ZUtBYoJdqgqobsbnlo,https://api.spotify.com/v1/audio-analysis/3A72ZUtBYoJdqgqobsbnlo,173819,4
